Ind.ID origin.pop pred.pop CentralCA INDONESIA MALAYSIA PAPUA_NEW_GUINEA SOLOMON_ISLANDS
CentralCA_z0178011 CentralCA INDONESIA 0.0593704798604735 0.462842684761387 0.00906135972434574 0.0553926200006844 0.41333285565311
CentralCA_z0207730 CentralCA INDONESIA 0.0741579799663399 0.553022890319794 0.00347300651745191 0.0913395373758048 0.27800658582061
INDONESIA_z0037412 INDONESIA INDONESIA 0.0709364227216025 0.575067714376653 0.00305737201272541 0.104834053773198 0.246104437115822
INDONESIA_z0037417 INDONESIA INDONESIA 0.0356562219444094 0.5452864055488 0.0147350441101107 0.0931714140061973 0.311150914390482
INDONESIA_z0037418 INDONESIA SOLOMON_ISLANDS 0.0407626095972971 0.416967851534798 0.0212378622459376 0.0461893468402371 0.47484232978173
INDONESIA_z0037422 INDONESIA SOLOMON_ISLANDS 0.0590703990880865 0.324267844567502 0.0169529815041558 0.0293910466696952 0.57031772817056
INDONESIA_z0062634 INDONESIA INDONESIA 0.0382563731189566 0.476121406770191 0.0156235648665142 0.0551482912946403 0.414850363949698
INDONESIA_z0062681 INDONESIA INDONESIA 0.0833530581481207 0.520368377486415 0.00356069049146192 0.0765803008999571 0.316137572974046
INDONESIA_z0062766 INDONESIA INDONESIA 0.0484446802834234 0.539573324018071 0.00814285701374873 0.0799536865703297 0.323885452114427
INDONESIA_z0062787 INDONESIA INDONESIA 0.0516161850246025 0.601272869838276 0.00426041547275206 0.131674195406252 0.211176334258117
INDONESIA_z0076691 INDONESIA SOLOMON_ISLANDS 0.0593583850247793 0.319535643401709 0.0170560198901393 0.0286396577449796 0.575410293938393
INDONESIA_z0076697 INDONESIA INDONESIA 0.0522997034915822 0.52879124843804 0.00842973272035172 0.0816904016265592 0.328788913723467
INDONESIA_z0076705 INDONESIA SOLOMON_ISLANDS 0.0463373289196601 0.394813305689012 0.0185166852722602 0.0407674185839441 0.499565261535123
INDONESIA_z0117088 INDONESIA SOLOMON_ISLANDS 0.0173717822000813 0.244460108104353 0.125045249844326 0.0221686525898211 0.590954207261418
INDONESIA_z0134109 INDONESIA INDONESIA 0.029075318910574 0.510948349236016 0.022617098014821 0.0725507173968188 0.36480851644177
MALAYSIA_z0016883 MALAYSIA INDONESIA 0.0577081537801958 0.472160200079038 0.0090104758780698 0.0575974148173788 0.403523755445318
MALAYSIA_z0016888 MALAYSIA INDONESIA 0.0198665323384358 0.452478315708306 0.0573538639552717 0.0642310294159752 0.406070258582011
PAPUA_NEW_GUINEA_z0026450 PAPUA_NEW_GUINEA INDONESIA 0.0667331891254655 0.546216512160151 0.00452905591388953 0.0869769980857326 0.295544244714761
PAPUA_NEW_GUINEA_z0026456 PAPUA_NEW_GUINEA INDONESIA 0.0118721255961119 0.481440817908417 0.089939270976065 0.0804552421503358 0.33629254336907
PAPUA_NEW_GUINEA_z0032023 PAPUA_NEW_GUINEA INDONESIA 0.0147333372657957 0.419293603183518 0.102756958128035 0.0648671018329196 0.398348999589731
SOLOMON_ISLANDS_z0006799 SOLOMON_ISLANDS INDONESIA 0.0541011100686942 0.454470279445261 0.0112046438335226 0.0537689938856876 0.426454972766834
SOLOMON_ISLANDS_z0012488 SOLOMON_ISLANDS INDONESIA 0.0203301353366503 0.568473085028534 0.0271844066323663 0.107188934571221 0.276823438431228
SOLOMON_ISLANDS_z0012492 SOLOMON_ISLANDS INDONESIA 0.0421365721511656 0.545631649675565 0.00913293166070949 0.0772496120382117 0.325849234474348
SOLOMON_ISLANDS_z0012497 SOLOMON_ISLANDS INDONESIA 0.0620875995555162 0.504193794898479 0.0084165642002967 0.0805270517732524 0.344774989572455
SOLOMON_ISLANDS_z0012503 SOLOMON_ISLANDS INDONESIA 0.0307078356837576 0.53374231655087 0.0180022752776733 0.0799232596328805 0.337624312854818
SOLOMON_ISLANDS_z0012519 SOLOMON_ISLANDS INDONESIA 0.0438887457581146 0.623392026216586 0.00394933209616941 0.129903537603874 0.198866358325256
SOLOMON_ISLANDS_z0012522 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0574750965467155 0.199810719934688 0.0300565041191277 0.0151348103178951 0.697522869081574
SOLOMON_ISLANDS_z0061467 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0502323464787422 0.42533070406352 0.0124979349415292 0.0429692258808666 0.468969788635342
SOLOMON_ISLANDS_z0216913 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0331504975722696 0.241344218077745 0.0520140706822373 0.0190288922788555 0.654462321388893
SOLOMON_ISLANDS_z0216930 SOLOMON_ISLANDS INDONESIA 0.062774521697854 0.480223298370608 0.00864562014550173 0.0662998167657173 0.382056743020319
