Ind.ID origin.pop pred.pop CentralCA INDONESIA MALAYSIA PAPUA_NEW_GUINEA SOLOMON_ISLANDS
CentralCA_z0035352 CentralCA INDONESIA 0.0433431482758413 0.442472414710903 0.0343112119308405 0.0591112978270101 0.420761927255405
INDONESIA_z0037422 INDONESIA SOLOMON_ISLANDS 0.0453159624077127 0.406037250342647 0.0278582808642056 0.0430592489488745 0.477729257436561
INDONESIA_z0037466 INDONESIA SOLOMON_ISLANDS 0.0497244130129162 0.407627637581212 0.0267055642075193 0.0446836989771971 0.471258686221156
INDONESIA_z0062627 INDONESIA INDONESIA 0.0813479278416087 0.434546767732786 0.0236505364420888 0.0674743562604512 0.392980411723066
INDONESIA_z0062743 INDONESIA INDONESIA 0.0782969401430035 0.46570380514327 0.028396251836052 0.0933652662694911 0.334237736608183
INDONESIA_z0062752 INDONESIA INDONESIA 0.0585008235311957 0.436792084082555 0.0283898210976539 0.0609981891325125 0.415319082156082
INDONESIA_z0062761 INDONESIA INDONESIA 0.0731674547659914 0.465214008515082 0.0292785986405815 0.0896037610310453 0.3427361770473
INDONESIA_z0062766 INDONESIA INDONESIA 0.0747955394309616 0.471199430077721 0.0299205849861037 0.0976712121101172 0.326413233395096
INDONESIA_z0076695 INDONESIA INDONESIA 0.0692225338214639 0.481229225698964 0.0328638271541076 0.107396491302018 0.309287922023446
INDONESIA_z0076697 INDONESIA INDONESIA 0.0486672322409607 0.471224613341347 0.037262017008326 0.081641585176009 0.361204552233358
INDONESIA_z0102605 INDONESIA INDONESIA 0.0851645326714394 0.481434505223178 0.0299818864897788 0.125403842392899 0.278015233222704
INDONESIA_z0102616 INDONESIA SOLOMON_ISLANDS 0.0449230464679455 0.424086669263246 0.0306857942722463 0.0503951726586186 0.449909317337944
INDONESIA_z0134055 INDONESIA INDONESIA 0.0177240312103599 0.493055085508276 0.072963571708962 0.086248972909446 0.330008338662956
INDONESIA_z0134061 INDONESIA SOLOMON_ISLANDS 0.00707075062708187 0.402793173930759 0.078286388191217 0.0324450220583437 0.479404665192598
INDONESIA_z0134101 INDONESIA INDONESIA 0.0530181680659779 0.438696472740916 0.0302046980855796 0.0602643513068513 0.417816309800675
INDONESIA_z0134108 INDONESIA INDONESIA 0.0317551651702824 0.480047945467786 0.0490998753199175 0.0804844836939474 0.358612530348067
MALAYSIA_z0016882 MALAYSIA SOLOMON_ISLANDS 0.0097429087543205 0.421666154002816 0.0716838239455252 0.0393477084539943 0.457559404843344
MALAYSIA_z0016885 MALAYSIA INDONESIA 0.0182628912026501 0.467149640440018 0.0627686412399628 0.0643174016673333 0.387501425450036
PAPUA_NEW_GUINEA_z0026456 PAPUA_NEW_GUINEA INDONESIA 0.0110728836134879 0.491361379678793 0.0953160389620188 0.0834458629888403 0.31880383475686
PAPUA_NEW_GUINEA_z0026458 PAPUA_NEW_GUINEA INDONESIA 0.0132775035573269 0.459269442372278 0.0724677735627767 0.0576836438613076 0.397301636646311
PAPUA_NEW_GUINEA_z0040942 PAPUA_NEW_GUINEA SOLOMON_ISLANDS 0.057015674696474 0.405387674412675 0.0245213689637886 0.0454613639483855 0.467613917978677
SOLOMON_ISLANDS_z0012482 SOLOMON_ISLANDS INDONESIA 0.0595368381368936 0.436476107083961 0.028082371367516 0.0611588692900221 0.414745814121607
SOLOMON_ISLANDS_z0012488 SOLOMON_ISLANDS INDONESIA 0.0223244865559682 0.486685677317944 0.0618438434395687 0.0817127324848854 0.347433260201634
SOLOMON_ISLANDS_z0012491 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0527603024904454 0.394274400244966 0.0241305099122168 0.0403832343948673 0.488451552957505
SOLOMON_ISLANDS_z0012497 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0418662620808674 0.416570369909472 0.030697378454684 0.0463496987786005 0.464516290776376
SOLOMON_ISLANDS_z0012500 SOLOMON_ISLANDS INDONESIA 0.070842177297961 0.47598318982091 0.0315456905396901 0.10104033840191 0.320588603939529
SOLOMON_ISLANDS_z0012503 SOLOMON_ISLANDS INDONESIA 0.0373547220599293 0.490153436999243 0.047379295006514 0.0944889581615007 0.330623587772813
SOLOMON_ISLANDS_z0012504 SOLOMON_ISLANDS INDONESIA 0.0744168369477577 0.467652287586709 0.0294186607189983 0.093103565798924 0.335408648947611
SOLOMON_ISLANDS_z0012524 SOLOMON_ISLANDS INDONESIA 0.0124433411279781 0.480070809159685 0.0836952649979912 0.0721451727231726 0.351645411991174
SOLOMON_ISLANDS_z0012525 SOLOMON_ISLANDS INDONESIA 0.0193431036384498 0.520386198587934 0.0848119034548365 0.164970546502571 0.210488247816208
SOLOMON_ISLANDS_z0061464 SOLOMON_ISLANDS INDONESIA 0.0435160533751589 0.469696215143047 0.0392453720647499 0.0776375989767559 0.369904760440288
SOLOMON_ISLANDS_z0216913 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0206307765874355 0.3693729411974 0.0355274821994774 0.027109356594847 0.54735944342084
SOLOMON_ISLANDS_z0216918 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.0459243993375101 0.302899515664562 0.0154091764295222 0.0175985289578664 0.618168379610539
SOLOMON_ISLANDS_z0216926 SOLOMON_ISLANDS SOLOMON_ISLANDS 0.00609100997778432 0.232328290304104 0.0288588865655817 0.0063913719943171 0.726330441158213
