"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus004","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.377777777777778,1
"locus005","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.379310344827586,0.311111111111111,1
"locus006","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.199750312109863,0.222222222222222,1
"locus008","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.555555555555556,1
"locus013","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.288888888888889,1
"locus014","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.496629213483146,0.511111111111111,1
"locus022","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.630461922596754,0.6,2
"locus024","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.306429548563611,0.355555555555556,1
"locus025","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.479623824451411,0.4,1
"locus027","IsabelSI-South",23,22,0.511111111111111,2,0.0869565217391304,0,0.432850241545894,0.177777777777778,1
"locus030","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.493383270911361,0.444444444444444,1
"locus035","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.163795255930087,0.177777777777778,1
"locus038","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.495332731105089,0.422222222222222,1
"locus039","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.221264367816092,0.244444444444444,1
"locus040","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.259644322845417,0.155555555555556,1
"locus041","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.361149110807114,0.311111111111111,1
"locus045","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.242954856361149,0.222222222222222,2
"locus047","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.501622971285893,0.511111111111111,1
"locus048","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.0651685393258427,0.0666666666666667,1
"locus053","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.605992509363296,0.733333333333333,2
"locus055","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.466666666666667,1
"locus056","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.333333333333333,1
"locus058","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.411442006269592,0.466666666666667,1
"locus060","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.216978776529338,0.244444444444444,1
"locus061","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.351929824561404,0.2,2
"locus062","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.395505617977528,0.355555555555556,1
"locus064","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.384769038701623,0.422222222222222,1
"locus065","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.216978776529338,0.244444444444444,1
"locus073","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.496032831737346,0.466666666666667,1
"locus074","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.323595505617977,0.266666666666667,1
"locus076","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.506024096385542,0.444444444444444,1
"locus077","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.137308039747064,0.133333333333333,1
"locus080","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.505485893416928,0.555555555555556,1
"locus083","IsabelSI-South",38,7,0.844444444444444,2,0.0526315789473684,0,0.321052631578947,0.244444444444444,1
"locus088","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.422222222222222,1
"locus093","IsabelSI-South",36,9,0.8,2,0.0555555555555556,0.0277777777777778,0.0277777777777777,0.0222222222222222,1
"locus096","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.384769038701623,0.466666666666667,1
"locus098","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.373461012311902,0.377777777777778,1
"locus100","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.309862671660424,0.244444444444444,3
"locus106","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.288888888888889,1
"locus110","IsabelSI-South",30,15,0.666666666666667,2,0.0666666666666667,0,0.345197740112994,0.288888888888889,1
"locus116","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.396443228454173,0.422222222222222,1
"locus119","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.288888888888889,1
"locus120","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.249937578027466,0.288888888888889,1
"locus126","IsabelSI-South",30,15,0.666666666666667,2,0.0666666666666667,0,0.46271186440678,0.288888888888889,1
"locus128","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.39747064137308,0.355555555555556,1
"locus129","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.511360799001248,0.488888888888889,2
"locus130","IsabelSI-South",37,8,0.822222222222222,2,0.0540540540540541,0,0.236949278045168,0.177777777777778,1
"locus134","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.501434308663224,0.533333333333333,1
"locus135","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.404388714733542,0.355555555555556,2
"locus137","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.373533083645443,0.266666666666667,1
"locus139","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.333333333333333,1
"locus140","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.333333333333333,1
"locus146","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.484587251828631,0.511111111111111,1
"locus148","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.424719101123596,0.422222222222222,1
"locus151","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.441697877652934,0.511111111111111,1
"locus157","IsabelSI-South",40,5,0.888888888888889,2,0.05,0,0.202215189873418,0.111111111111111,1
"locus161","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.390543364681296,0.377777777777778,1
"locus165","IsabelSI-South",40,5,0.888888888888889,2,0.05,0,0.308544303797468,0.288888888888889,1
"locus170","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.489637952559301,0.377777777777778,1
"locus176","IsabelSI-South",39,6,0.866666666666667,2,0.0512820512820513,0,0.49017649017649,0.355555555555556,1
"locus184","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.361797752808989,0.377777777777778,1
"locus186","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.182022471910112,0.155555555555556,1
"locus188","IsabelSI-South",44,1,0.977777777777778,3,0.0681818181818182,0.0227272727272727,0.600574712643678,0.666666666666667,2
"locus189","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.475405742821473,0.488888888888889,2
"locus190","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.415480649188514,0.355555555555556,1
"locus191","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.511111111111111,1
"locus192","IsabelSI-South",41,4,0.911111111111111,2,0.048780487804878,0,0.462812405901837,0.422222222222222,1
"locus195","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.367554858934169,0.422222222222222,1
"locus202","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.456679151061174,0.422222222222222,1
"locus210","IsabelSI-South",31,14,0.688888888888889,2,0.0645161290322581,0,0.503437334743522,0.311111111111111,1
"locus215","IsabelSI-South",40,5,0.888888888888889,2,0.05,0,0.392088607594937,0.288888888888889,1
"locus227","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.342476489028213,0.333333333333333,1
"locus231","IsabelSI-South",37,8,0.822222222222222,2,0.0540540540540541,0,0.386893743058127,0.288888888888889,1
"locus235","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.384769038701623,0.422222222222222,1
"locus236","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.280898876404494,0.288888888888889,1
"locus237","IsabelSI-South",45,0,1,3,0.0666666666666667,0,0.434207240948814,0.311111111111111,2
"locus239","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.456679151061174,0.333333333333333,1
"locus248","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.34956304619226,0.355555555555556,1
"locus255","IsabelSI-South",22,23,0.488888888888889,2,0.0909090909090909,0,0.42600422832981,0.244444444444444,1
"locus256","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.466484268125855,0.511111111111111,1
"locus263","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.0917957544463569,0.0888888888888889,1
"locus264","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.475405742821473,0.622222222222222,1
"locus274","IsabelSI-South",45,0,1,2,0.0444444444444444,0,0.504619225967541,0.555555555555556,1
"locus280","IsabelSI-South",42,3,0.933333333333333,2,0.0476190476190476,0,0.391279403327596,0.355555555555556,1
"locus282","IsabelSI-South",43,2,0.955555555555556,2,0.0465116279069767,0,0.444322845417237,0.355555555555556,1
"locus286","IsabelSI-South",44,1,0.977777777777778,2,0.0454545454545455,0.0227272727272727,0.203761755485893,0.222222222222222,1
