"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus237","PNG",15,0,1,3,0.2,0,0.432183908045977,0.4,2
"locus239","PNG",15,0,1,2,0.133333333333333,0,0.496551724137931,0.533333333333333,1
"locus248","PNG",15,0,1,2,0.133333333333333,0,0.33103448275862,0.133333333333333,1
"locus256","PNG",13,2,0.866666666666667,2,0.153846153846154,0,0.516923076923077,0.4,1
"locus263","PNG",15,0,1,2,0.133333333333333,0.0666666666666667,0.0666666666666666,0.0666666666666667,1
"locus264","PNG",15,0,1,2,0.133333333333333,0,0.514942528735632,0.4,1
"locus274","PNG",15,0,1,2,0.133333333333333,0,0.459770114942529,0.533333333333333,1
"locus280","PNG",13,2,0.866666666666667,2,0.153846153846154,0,0.369230769230769,0.266666666666667,1
"locus282","PNG",15,0,1,2,0.133333333333333,0,0.480459770114943,0.733333333333333,1
"locus286","PNG",15,0,1,2,0.133333333333333,0,0.186206896551724,0.2,1
"locus291","PNG",15,0,1,2,0.133333333333333,0,0.517241379310345,0.333333333333333,2
"locus292","PNG",15,0,1,2,0.133333333333333,0,0.28735632183908,0.333333333333333,1
"locus296","PNG",15,0,1,2,0.133333333333333,0,0.43448275862069,0.2,1
"locus301","PNG",14,1,0.933333333333333,2,0.142857142857143,0.0714285714285714,0.137566137566138,0.133333333333333,1
"locus314","PNG",11,4,0.733333333333333,2,0.181818181818182,0,0.246753246753247,0.0666666666666667,1
"locus321","PNG",15,0,1,2,0.133333333333333,0,0.480459770114943,0.333333333333333,1
"locus322","PNG",15,0,1,2,0.133333333333333,0,0.404597701149425,0.4,1
"locus323","PNG",14,1,0.933333333333333,2,0.142857142857143,0.0714285714285714,0.423280423280423,0.266666666666667,1
"locus329","PNG",15,0,1,2,0.133333333333333,0,0.508045977011494,0.6,1
"locus332","PNG",15,0,1,2,0.133333333333333,0,0.370114942528736,0.466666666666667,1
"locus358","PNG",15,0,1,2,0.133333333333333,0,0.28735632183908,0.333333333333333,1
"locus359","PNG",15,0,1,2,0.133333333333333,0.0666666666666667,0.0666666666666666,0.0666666666666667,1
"locus360","PNG",14,1,0.933333333333333,2,0.142857142857143,0.0714285714285714,0.518518518518518,0.4,1
"Dc01018","Malaysia",4,3,0.571428571428571,1,0.25,0,0,0,1
"Dc01661","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.142857142857143,2
"Dc01707","Malaysia",7,0,1,3,0.428571428571429,0,0.648351648351648,0.857142857142857,2
"Dc01784","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"Dc02951","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc03456","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"Dc03556","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"Dc06503","Malaysia",2,5,0.285714285714286,1,0.5,0,0,0,1
"Dc07300","Malaysia",7,0,1,3,0.428571428571429,0.142857142857143,0.582417582417582,0.571428571428571,2
"Dc07937","Malaysia",7,0,1,3,0.428571428571429,0,0.648351648351648,0.571428571428571,2
"Dc08054","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,2
"Dc08189","Malaysia",6,1,0.857142857142857,3,0.5,0.333333333333333,0.621212121212121,0.714285714285714,2
"Dc08463","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.857142857142857,1
"Dc08865","Malaysia",7,0,1,3,0.428571428571429,0.142857142857143,0.582417582417582,0.714285714285714,2
"Dc10003","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"Dc10390","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"Dc10878","Malaysia",3,4,0.428571428571429,2,0.666666666666667,0.333333333333333,0.333333333333333,0.142857142857143,1
"Dc10885","Malaysia",7,0,1,3,0.428571428571429,0.142857142857143,0.538461538461538,0.285714285714286,2
"Dc11203","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.428571428571429,2
"Dc11714","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.166666666666667,0.545454545454545,0.285714285714286,1
"Dc13159","Malaysia",5,2,0.714285714285714,2,0.4,0,0.533333333333333,0.285714285714286,2
"Dc13592","Malaysia",6,1,0.857142857142857,3,0.5,0.5,0.439393939393939,0.142857142857143,2
"Dc14022","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc14945","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"Dc16747","Malaysia",4,3,0.571428571428571,2,0.5,0,0.571428571428571,0.571428571428571,1
"Dc18951","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.428571428571429,1
"Dc20232","Malaysia",7,0,1,3,0.428571428571429,0,0.648351648351648,0.714285714285714,2
"Dc22883","Malaysia",3,4,0.428571428571429,3,1,0.333333333333333,0.733333333333333,0.428571428571429,2
"Dc22887","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"Dc27955","Malaysia",3,4,0.428571428571429,2,0.666666666666667,0.333333333333333,0.333333333333333,0.142857142857143,1
"Dc28124","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"Dc28776","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
