"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.In-water, CA_adj","p.val.In-water, Indonesia_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus139","locus140",0,0,NA,0.057372,0.057372,NA,0,NA,0.000336,4
"locus184","locus186",3.6e-05,3.6e-05,NA,0.287256,0.287256,NA,0.019832,NA,0.167448,3
"Dc14945","Dc22883",0.03043,0.03043,NA,NA,1,NA,1,NA,1,2
"locus064","locus264",0.03334,0.597536,NA,NA,0.427764,NA,0.04124,NA,1,2
"locus165","locus227",0.011008,1,1,NA,1,1,0.021742,1,1,2
"locus188","locus329",0.00031,0.762006,NA,NA,1,NA,0.049336,NA,0.98806,2
"Dc01018","Dc46984",0.0252,0.74882,NA,NA,1,NA,1,1,1,1
"Dc01018","Dc49080",1,1,1,NA,0.723168,NA,0.01624,1,1,1
"Dc01661","Dc47572",1,0.016032,NA,NA,1,NA,1,1,1,1
"Dc01661","locus076",0.338432,1,NA,NA,1,NA,1,NA,0.01016,1
"Dc01661","locus077",1,0.012468,NA,1,1,NA,1,NA,1,1
"Dc01661","locus301",0.02033,1,NA,NA,1,NA,1,NA,1,1
"Dc01707","Dc22883",1,0.48288,NA,NA,1,NA,1,NA,0.04592,1
"Dc01707","Dc35779",1,0.019978,NA,NA,1,1,1,1,1,1
"Dc01707","locus004",1,0.008424,NA,1,1,NA,1,NA,1,1
"Dc01707","locus060",1,1,NA,1,1,NA,0.00102,NA,1,1
"Dc01707","locus096",0.839592,1,1,NA,1,NA,0.038916,NA,0.69191,1
"Dc01784","Dc28124",1,0.024468,NA,NA,1,NA,1,1,1,1
"Dc01784","Dc47935",1,0.011196,NA,NA,0.2789,NA,1,1,1,1
"Dc01784","locus186",0.038424,0.71482,NA,1,1,NA,1,NA,1,1
"Dc01784","locus256",0.014856,1,NA,NA,1,NA,1,1,1,1
"Dc02951","Dc08463",0.037824,1,NA,NA,1,NA,0.5417,1,1,1
"Dc02951","Dc10878",1,0.0339,NA,NA,1,NA,0.392728,NA,1,1
"Dc02951","locus014",0.95899,1,NA,1,1,NA,1,NA,0.046464,1
"Dc02951","locus129",1,0.036084,NA,1,1,NA,1,NA,1,1
"Dc02951","locus256",0.1218,1,NA,NA,0.38068,NA,0.02412,1,1,1
"Dc03456","Dc08865",1,0.034752,NA,NA,0.958,NA,1,1,0.958,1
"Dc03456","locus014",1,0.003108,NA,1,1,NA,1,NA,1,1
"Dc03456","locus157",0.041904,NA,NA,NA,1,NA,0.577914,NA,0.577914,1
"Dc03456","locus323",0.502926,0.00984,NA,NA,0.230568,NA,0.600548,NA,1,1
"Dc03556","Dc08054",0.026976,1,NA,NA,1,NA,1,1,1,1
"Dc03556","Dc31007",1,NA,NA,NA,1,NA,0.034792,NA,1,1
"Dc03556","locus041",0.03888,1,NA,NA,1,NA,1,NA,1,1
"Dc03556","locus096",1,0.00834,1,NA,1,NA,1,NA,1,1
"Dc03556","locus188",0.039876,0.23361,NA,NA,1,1,1,NA,1,1
"Dc03556","locus264",1,1,NA,NA,1,NA,0.04178,NA,1,1
"Dc06503","Dc35779",1,1,NA,NA,1,NA,0.00964,NA,1,1
"Dc06503","Dc62188",1,0.00239,NA,NA,1,NA,0.13328,NA,1,1
"Dc06503","locus041",1,1,NA,NA,1,NA,0.00209,NA,1,1
"Dc07300","Dc35779",1,0.015246,NA,NA,0.516072,1,1,1,1,1
"Dc07300","Dc48207",0.031514,1,NA,NA,1,1,1,1,1,1
"Dc07300","Dc49080",1,0.034896,NA,NA,1,NA,1,1,1,1
"Dc07300","Dc58248",1,1,NA,1,1,NA,0.041856,NA,0.62952,1
"Dc07300","locus025",1,0.00126,1,1,1,NA,1,NA,0.432168,1
"Dc07300","locus055",1,1,NA,NA,1,NA,0.00979,NA,1,1
"Dc07300","locus237",1,0.02652,NA,NA,1,NA,1,0.47687,1,1
"Dc07300","locus263",0.02872,1,NA,NA,1,NA,1,NA,1,1
"Dc07300","locus359",0.01717,1,NA,NA,1,NA,1,NA,1,1
"Dc07937","Dc08463",1,0.037674,NA,NA,1,1,0.55854,1,1,1
"Dc07937","locus003",1,1,NA,1,1,NA,1,NA,0.046044,1
"Dc07937","locus047",0.267396,1,NA,NA,0.224248,NA,1,NA,0.01481,1
"Dc07937","locus098",0.02901,0.830944,NA,NA,1,NA,1,NA,1,1
"Dc07937","locus292",0.02462,0.943,NA,NA,1,NA,1,NA,1,1
"Dc08054","locus008",1,0.639432,NA,1,1,NA,0.03738,NA,0.10968,1
"Dc08054","locus083",0.007344,NA,NA,NA,1,NA,1,NA,1,1
"Dc08189","Dc14945",0.033132,1,NA,NA,1,NA,0.8086,1,1,1
"Dc08189","Dc22887",1,0.036804,NA,NA,1,NA,1,1,0.77771,1
"Dc08189","locus013",1,1,NA,1,1,NA,0.34922,NA,0.010596,1
"Dc08189","locus083",1,NA,NA,NA,1,NA,0.008856,NA,1,1
"Dc08189","locus130",0.24663,NA,NA,NA,0.547724,NA,0.006344,NA,0.547724,1
"Dc08189","locus274",0.4116,1,NA,NA,1,NA,0.0172,NA,1,1
"Dc08189","locus323",0.79644,0.027252,NA,NA,1,1,1,NA,1,1
"Dc08463","Dc11203",0.040012,1,NA,NA,1,1,1,1,0.638088,1
"Dc08463","Dc14945",0.00882,1,NA,NA,1,NA,0.36883,1,1,1
"Dc08463","locus129",0.84684,0.576324,1,1,1,NA,1,NA,0.021784,1
"Dc08463","locus130",0.610404,NA,NA,NA,0.664552,NA,0.923656,NA,0.042304,1
"Dc08463","locus146",0.007812,0.8985,1,1,1,NA,1,NA,1,1
"Dc08463","locus202",1,1,NA,NA,1,NA,0.90606,1,0.01908,1
"Dc08865","Dc62188",1,1,NA,1,1,NA,1,NA,0.017616,1
"Dc08865","locus098",1,0.01899,NA,NA,1,NA,1,NA,1,1
"Dc08865","locus157",1,NA,NA,NA,1,NA,0.030944,NA,1,1
"Dc08865","locus280",0.247928,1,NA,NA,0.0465,NA,1,NA,1,1
"Dc08865","locus329",0.946344,1,NA,NA,1,NA,0.03816,NA,0.493336,1
"Dc10003","locus332",0.301818,NA,1,NA,1,NA,0.025632,NA,NA,1
"Dc10390","locus065",0.014208,0.888176,NA,0.888176,0.888176,NA,0.888176,NA,0.71867,1
"Dc10390","locus148",1,1,NA,1,1,NA,1,NA,0.0414,1
"Dc10390","locus161",1,0.00714,NA,1,1,NA,1,NA,1,1
"Dc10390","locus280",1,1,NA,NA,1,NA,0.0466,NA,1,1
"Dc10878","locus239",0.351384,0.00918,NA,NA,1,NA,1,NA,0.351384,1
"Dc10885","Dc58248",0.60307,1,NA,1,1,NA,1,NA,0.036312,1
"Dc10885","locus045",0.01819,1,NA,NA,1,NA,1,NA,1,1
"Dc10885","locus058",0.011436,1,NA,1,1,NA,1,NA,1,1
"Dc10885","locus170",1,1,NA,1,1,NA,0.008136,NA,1,1
"Dc10885","locus296",1,1,NA,NA,1,NA,0.62256,NA,0.00831,1
"Dc11203","locus076",0.01134,1,NA,NA,1,1,1,NA,1,1
"Dc11203","locus129",1,1,NA,1,1,NA,1,NA,0.003792,1
"Dc11203","locus135",0.34763,0.049848,NA,1,1,NA,1,NA,1,1
"Dc11203","locus157",1,NA,NA,NA,1,NA,0.029512,NA,1,1
"Dc11203","locus195",1,1,NA,NA,1,1,1,1,0.01463,1
"Dc11203","locus292",1,1,NA,NA,1,NA,0.04413,NA,1,1
"Dc11714","Dc22883",0.862768,0.04464,NA,NA,1,NA,1,NA,1,1
"Dc11714","Dc36571",0.041904,0.555416,NA,NA,1,NA,1,0.33889,1,1
"Dc11714","Dc58248",1,1,NA,1,1,NA,0.045384,NA,1,1
"Dc11714","locus047",0.681136,0.681136,NA,NA,0.86594,NA,0.01219,NA,0.86594,1
"Dc11714","locus227",1,1,1,NA,1,NA,0.04011,1,1,1
"Dc13159","locus058",0.0402,0.26007,NA,1,1,NA,1,NA,1,1
"Dc13592","Dc22883",1,1,NA,NA,1,NA,1,NA,0.03954,1
"Dc13592","locus003",0.82363,1,NA,1,1,NA,0.00174,NA,1,1
"Dc13592","locus077",1,0.014844,NA,1,1,NA,1,NA,1,1
"Dc13592","locus188",0.999728,0.02247,NA,NA,0.344272,NA,0.999728,NA,0.727146,1
"Dc13592","locus189",1,1,NA,1,1,NA,0.00994,1,1,1
"Dc13592","locus239",1,0.024768,NA,NA,1,NA,0.783792,0.783792,0.47582,1
"Dc13592","locus321",0.0186,1,NA,NA,1,NA,1,NA,1,1
"Dc14022","locus292",0.00329,1,NA,NA,1,NA,1,NA,1,1
"Dc14945","locus264",1,0.316152,NA,NA,1,NA,0.03349,NA,1,1
"Dc14945","locus321",0.01757,0.266744,NA,NA,1,NA,0.283602,NA,1,1
"Dc16747","locus186",0.65206,9.6e-05,NA,1,1,NA,1,NA,1,1
"Dc16747","locus292",1,0.02669,NA,NA,1,NA,1,NA,1,1
"Dc18951","locus003",0.045264,1,NA,1,1,NA,1,NA,0.94658,1
"Dc18951","locus040",1,0.02635,NA,NA,1,NA,1,NA,1,1
"Dc18951","locus053",0.041652,1,1,NA,1,NA,1,NA,1,1
"Dc18951","locus130",1,NA,NA,NA,1,NA,0.009632,NA,1,1
"Dc18951","locus188",0.289192,0.0069,NA,NA,1,NA,0.487896,NA,1,1
"Dc18951","locus215",0.79256,NA,NA,NA,1,NA,0.01079,0.79256,1,1
"Dc18951","locus280",1,1,NA,NA,1,NA,0.02371,NA,1,1
"Dc20232","locus301",1,0.03428,NA,NA,1,NA,1,NA,1,1
"Dc20232","locus360",1,0.024984,NA,NA,1,1,1,NA,1,1
"Dc22883","Dc33714",1,0.673512,NA,NA,1,NA,1,NA,0.02886,1
"Dc22883","Dc51020",0.04184,1,NA,NA,1,NA,1,NA,1,1
"Dc22883","locus006",1,0.0192,NA,1,1,NA,1,NA,1,1
"Dc22883","locus056",1,1,NA,1,1,NA,0.029148,NA,1,1
"Dc22887","locus003",0.64503,1,NA,1,1,NA,1,NA,0.008724,1
"Dc22887","locus004",1,1,NA,1,1,NA,0.039036,NA,1,1
"Dc22887","locus148",1,1,NA,1,1,NA,1,NA,0.031284,1
"Dc22887","locus237",1,1,NA,NA,1,NA,1,1,0.034764,1
"Dc22887","locus239",1,1,NA,NA,0.71358,NA,0.005688,1,1,1
"Dc27955","locus013",0.033306,1,NA,1,1,1,0.263976,NA,1,1
"Dc28124","Dc41234",0.022144,1,NA,NA,1,NA,NA,NA,1,1
"Dc28124","Dc48950",1,1,NA,NA,1,NA,0.031584,1,1,1
"Dc28124","locus027",0.006762,0.28526,NA,NA,0.28526,NA,NA,NA,NA,1
"Dc28124","locus080",1,0.048516,NA,NA,1,1,1,NA,1,1
"Dc28124","locus239",1,1,NA,NA,1,NA,0.045156,1,1,1
"Dc28776","locus041",0.02525,0.53972,NA,NA,1,NA,1,NA,1,1
"Dc28776","locus073",1,1,1,1,1,NA,0.026698,NA,1,1
"Dc28776","locus074",0.160176,1,1,1,1,NA,0.30729,NA,0.003738,1
"Dc28776","locus202",0.023364,1,NA,NA,1,NA,1,1,1,1
"Dc28776","locus322",0.646168,0.03957,NA,NA,1,NA,1,NA,0.646168,1
"Dc28776","locus358",1,0.04411,NA,NA,1,NA,1,NA,1,1
"Dc30071","Dc58248",0.48507,0.0327,NA,1,1,NA,0.985776,NA,1,1
"Dc30071","locus151",1,NA,NA,0.08349,1,1,0.042624,NA,1,1
"Dc30071","locus236",1,1,NA,NA,1,NA,0.007224,1,0.92335,1
"Dc33714","Dc51020",0.07879,1,NA,NA,1,NA,0.010032,1,0.992496,1
"Dc33714","locus055",1,1,NA,NA,0.233072,NA,0.02376,NA,1,1
"Dc33714","locus170",1,1,NA,1,1,NA,0.044832,NA,1,1
"Dc33714","locus280",1,0.04645,NA,NA,1,NA,1,NA,1,1
"Dc33907","Dc62188",1,0.03642,NA,0.99663,1,NA,1,NA,1,1
"Dc33907","locus047",0.014712,1,NA,NA,0.572688,1,0.14355,NA,1,1
"Dc33907","locus146",0.790482,0.327832,NA,1,0.85956,NA,0.05138,NA,0.03378,1
"Dc33907","locus170",1,0.66884,NA,1,1,NA,0.009984,NA,1,1
"Dc33907","locus190",1,1,NA,NA,1,NA,0.017916,1,1,1
"Dc34902","Dc40235",1,0.83356,NA,NA,1,NA,0.024996,1,1,1
"Dc34902","locus134",1,0.002052,NA,NA,1,1,1,NA,1,1
"Dc34902","locus176",1,NA,NA,NA,1,NA,1,NA,0.045424,1
"Dc34902","locus188",0.277368,1,NA,NA,1,NA,1,NA,0.04206,1
"Dc34902","locus332",1,0.02685,NA,NA,1,NA,1,NA,0.833088,1
"Dc34902","locus360",0.991962,1,NA,NA,0.556864,NA,0.01981,NA,1,1
"Dc35779","Dc36616",1,1,NA,NA,1,1,0.009142,1,1,1
"Dc35779","Dc55481",0.020172,1,NA,1,1,NA,1,NA,1,1
"Dc35779","Dc62188",1,1,NA,1,1,NA,0.020016,NA,1,1
"Dc35779","locus035",1,0.00672,NA,NA,0.71533,1,1,NA,1,1
"Dc36571","locus065",0.820848,1,1,1,1,NA,0.001554,NA,1,1
"Dc36571","locus282",0.033408,1,1,NA,0.24082,NA,0.285992,NA,1,1
"Dc36616","locus076",0.842856,0.0045,NA,NA,1,NA,1,NA,1,1
"Dc36616","locus282",0.822072,1,1,NA,1,1,0.026236,NA,1,1
"Dc36616","locus358",1,0.040248,NA,NA,1,1,1,NA,1,1
"Dc36616","locus360",0.591232,0.591232,NA,NA,0.591232,NA,0.00033,NA,0.591232,1
"Dc40235","locus135",1,1,NA,1,0.70981,NA,0.044508,NA,1,1
"Dc40235","locus292",1,0.040284,NA,NA,1,1,1,NA,1,1
"Dc41234","Dc49080",0.01858,0.263224,1,NA,0.263224,NA,NA,NA,1,1
"Dc41234","locus060",0.047888,0.242844,NA,NA,0.926664,NA,NA,NA,0.926664,1
"Dc41234","locus129",1,1,NA,NA,0.43476,NA,NA,NA,0.046824,1
"Dc46984","locus035",1,0.04974,NA,NA,1,1,1,NA,1,1
"Dc46984","locus106",0.556392,0.00546,NA,NA,1,NA,1,NA,1,1
"Dc46984","locus176",0.0432,NA,NA,NA,1,NA,1,NA,0.41997,1
"Dc47572","locus139",1,0.033348,NA,1,1,NA,0.25029,NA,1,1
"Dc47572","locus140",1,0.028932,NA,1,1,NA,0.26752,NA,1,1
"Dc47572","locus188",0.00607,1,NA,NA,1,NA,1,NA,1,1
"Dc47572","locus314",1,0.04282,NA,NA,1,NA,1,NA,1,1
"Dc47572","locus360",0.944696,1,NA,NA,1,NA,0.03911,NA,1,1
"Dc47935","locus058",0.01884,0.56211,NA,1,1,NA,1,NA,1,1
"Dc48950","Dc58248",1,1,NA,1,1,NA,0.004728,NA,1,1
"Dc48950","locus129",1,0.013632,NA,1,1,NA,1,NA,1,1
"Dc48950","locus329",0.03375,0.587256,NA,NA,0.74595,NA,0.587256,NA,0.436696,1
"Dc49080","locus100",0.802344,0.802344,NA,NA,1,NA,0.04224,NA,0.551352,1
"Dc49080","locus119",0.32196,0.94878,NA,NA,0.474128,NA,0.32196,NA,0.00266,1
"Dc49184","locus013",1,1,NA,1,1,NA,0.027288,NA,1,1
"Dc49184","locus039",0.274792,1,NA,NA,1,NA,0.00344,NA,1,1
"Dc49184","locus047",0.005184,1,1,NA,1,NA,1,NA,1,1
"Dc51020","locus065",0.043812,1,NA,1,1,NA,1,NA,1,1
"Dc51020","locus358",0.00715,1,NA,NA,0.113216,NA,1,NA,1,1
"Dc52523","locus013",1,1,NA,1,1,NA,0.044916,NA,0.6537,1
"Dc52523","locus093",0.0228,1,1,NA,1,NA,1,NA,1,1
"Dc52523","locus236",1,0.499848,NA,NA,0.43495,NA,0.047136,1,1,1
"Dc52523","locus280",0.160736,1,NA,NA,1,NA,1,NA,0.03143,1
"Dc55481","locus148",1,1,1,1,1,NA,0.004788,NA,1,1
"Dc55481","locus329",0.03745,1,NA,NA,1,NA,1,NA,1,1
"Dc62188","locus022",0.02418,0.29036,NA,0.14076,1,NA,1,NA,1,1
"Dc62188","locus128",1,1,NA,1,1,NA,0.04896,NA,1,1
"Dc62188","locus186",0.036828,1,NA,1,1,NA,1,NA,1,1
"Dc62188","locus188",1,0.00024,1,NA,1,NA,1,NA,1,1
"Dc67011","locus058",1,1,NA,1,1,NA,0.043968,NA,0.187,1
"Dc67011","locus231",0.218392,0.00177,NA,NA,1,NA,1,NA,1,1
"locus003","locus008",1,0.908448,NA,1,1,NA,0.041328,NA,0.73385,1
"locus003","locus025",1,0.935376,NA,NA,1,NA,0.04333,NA,0.7424,1
"locus003","locus322",1,1,NA,NA,1,NA,0.04382,NA,1,1
"locus004","locus056",1,1,NA,1,1,NA,0.030732,NA,1,1
"locus004","locus088",1,1,NA,NA,1,NA,1,NA,0.0329,1
"locus004","locus165",1,0.655392,NA,NA,1,NA,0.01387,NA,1,1
"locus005","locus184",0.03942,1,NA,1,1,NA,1,NA,1,1
"locus005","locus188",0.02079,1,NA,NA,1,NA,1,NA,1,1
"locus006","locus100",1,1,NA,NA,1,NA,0.00924,NA,1,1
"locus006","locus128",0.00048,1,NA,1,1,NA,1,NA,1,1
"locus006","locus190",1,0.017544,NA,NA,1,NA,1,1,1,1
"locus008","locus039",1,1,NA,NA,1,NA,0.01313,NA,1,1
"locus008","locus048",1,0.002,NA,NA,1,NA,1,NA,1,1
"locus008","locus148",1,0.003636,NA,1,1,NA,1,NA,1,1
"locus008","locus239",0.04398,1,NA,NA,1,NA,0.06398,1,1,1
"locus013","locus030",0.01092,1,1,NA,0.3417,NA,0.653144,NA,1,1
"locus013","locus096",0.899784,0.36556,NA,NA,0.899784,1,0.36556,NA,0.01182,1
"locus013","locus188",0.01178,0.248528,NA,NA,0.596748,NA,0.822316,NA,0.596748,1
"locus013","locus231",1,1,NA,NA,1,NA,1,NA,0.03789,1
"locus013","locus256",1,0.79323,NA,NA,1,1,1,NA,0.027552,1
"locus013","locus280",0.150072,1,NA,NA,0.368766,NA,1,NA,0.02439,1
"locus014","locus027",0.01848,1,1,NA,1,NA,NA,NA,NA,1
"locus014","locus030",1,1,1,NA,1,1,0.021966,NA,1,1
"locus014","locus045",1,0.040464,NA,NA,1,1,0.30151,NA,1,1
"locus014","locus120",1,1,NA,NA,1,NA,0.01742,NA,1,1
"locus014","locus165",0.778264,0.19228,NA,NA,0.778264,NA,0.00196,NA,0.501,1
"locus014","locus191",0.02803,NA,NA,NA,1,NA,1,1,1,1
"locus014","locus274",0.538872,0.00779,NA,NA,1,NA,0.521128,NA,0.80316,1
"locus022","locus048",1,0.00372,NA,NA,1,NA,1,NA,0.341256,1
"locus022","locus096",0.452416,0.01474,NA,NA,1,NA,1,NA,0.452416,1
"locus022","locus146",1,1,NA,1,1,NA,0.048864,NA,1,1
"locus024","locus176",0.007176,NA,NA,NA,0.086598,NA,1,NA,1,1
"locus025","locus060",1,1,NA,1,1,NA,1,NA,0.023316,1
"locus025","locus161",1,1,NA,1,1,NA,0.04182,NA,0.12742,1
"locus025","locus314",0.02528,1,NA,NA,1,NA,1,NA,1,1
"locus027","locus076",0.025644,0.402252,NA,NA,1,NA,NA,NA,NA,1
"locus027","locus192",1,0.001422,NA,NA,1,NA,NA,NA,NA,1
"locus030","locus073",1,0.04932,NA,1,1,NA,1,NA,1,1
"locus030","locus329",0.322424,0.326892,NA,NA,0.459936,NA,0.00249,NA,0.916146,1
"locus035","locus100",1,1,NA,NA,1,NA,0.03165,NA,0.378464,1
"locus035","locus151",1,NA,NA,1,0.192872,NA,0.00985,NA,1,1
"locus035","locus188",1,1,NA,NA,0.574984,NA,0.03533,NA,1,1
"locus035","locus202",1,0.81985,NA,NA,1,NA,0.03318,1,1,1
"locus035","locus264",1,0.023772,1,NA,1,1,1,NA,1,1
"locus038","locus039",1,0.01295,NA,NA,1,NA,0.079912,NA,1,1
"locus038","locus139",1,1,NA,1,1,NA,0.017232,NA,0.46899,1
"locus038","locus140",1,1,NA,1,1,NA,0.018216,NA,0.46475,1
"locus038","locus296",0.9437,0.429608,NA,NA,0.9437,NA,0.02562,NA,0.73731,1
"locus039","locus041",0.03634,0.309832,NA,NA,1,NA,0.765276,NA,0.98872,1
"locus039","locus100",1,1,NA,NA,1,NA,0.04432,NA,1,1
"locus039","locus116",1,0.0473,NA,NA,1,NA,1,NA,1,1
"locus039","locus119",1,0.046104,1,NA,1,NA,1,NA,1,1
"locus039","locus148",1,1,NA,1,1,1,0.005418,NA,1,1
"locus039","locus161",1,1,NA,1,1,1,0.012726,NA,1,1
"locus039","locus314",1,0.0145,NA,NA,1,NA,1,NA,1,1
"locus040","locus186",0.15057,1,NA,1,1,NA,0.025368,NA,1,1
"locus040","locus248",1,1,NA,NA,1,NA,0.017832,1,1,1
"locus040","locus286",0.030144,1,NA,NA,1,1,1,NA,1,1
"locus040","locus291",0.00583,1,NA,NA,1,NA,1,NA,1,1
"locus041","locus045",1,0.04151,NA,NA,1,NA,1,NA,0.594256,1
"locus041","locus074",1,0.033564,NA,1,1,NA,1,NA,1,1
"locus041","locus098",0.96063,1,1,NA,1,NA,0.044352,NA,1,1
"locus041","locus202",0.028608,1,NA,NA,1,NA,1,1,1,1
"locus045","locus188",1,0.00321,NA,NA,1,NA,1,NA,0.449856,1
"locus045","locus237",1,0.047328,NA,NA,1,NA,1,1,1,1
"locus047","locus231",0.713928,0.00316,NA,NA,0.713928,NA,0.713928,NA,0.713928,1
"locus047","locus332",1,0.00417,NA,NA,1,NA,1,NA,1,1
"locus047","locus359",1,0.03568,NA,NA,1,NA,1,NA,1,1
"locus048","locus058",0.03786,0.280704,NA,1,0.71883,NA,0.26384,NA,1,1
"locus048","locus148",1,0.027664,NA,0.283512,1,1,1,NA,1,1
"locus053","locus120",1,1,NA,NA,1,NA,1,NA,0.01919,1
"locus053","locus329",1,2.4e-05,NA,NA,1,1,0.21856,NA,1,1
"locus055","locus157",1,NA,1,NA,1,NA,0.03827,NA,1,1
"locus055","locus274",1,1,1,NA,1,1,1,NA,0.004102,1
"locus056","locus060",1,1,NA,1,1,NA,0.18491,NA,0.007872,1
"locus056","locus135",0.025092,1,NA,1,1,NA,1,NA,1,1
"locus058","locus076",0.549744,0.686238,NA,NA,1,NA,0.686238,NA,0.01331,1
"locus058","locus096",1,0.03754,NA,NA,0.949712,NA,1,NA,1,1
"locus058","locus165",1,0.00138,NA,NA,1,NA,1,NA,1,1
"locus060","locus073",0.045816,1,NA,0.83511,1,NA,1,NA,1,1
"locus061","locus215",1,NA,NA,NA,1,NA,0.01522,1,1,1
"locus062","locus191",1,NA,NA,NA,1,NA,0.00432,1,1,1
"locus064","locus146",1,0.017906,1,1,1,NA,1,NA,1,1
"locus064","locus189",1,0.033264,NA,NA,1,NA,1,1,1,1
"locus065","locus359",0.66376,0.866766,NA,NA,1,NA,0.00096,NA,1,1
"locus074","locus292",1,1,NA,NA,1,NA,0.01469,NA,1,1
"locus076","locus116",0.01048,1,NA,NA,1,NA,1,NA,1,1
"locus076","locus129",1,0.01875,NA,NA,1,NA,1,NA,1,1
"locus076","locus137",0.166984,0.289374,NA,NA,0.289374,NA,0.00744,NA,0.289374,1
"locus076","locus190",0.287744,1,NA,NA,1,NA,0.04523,NA,1,1
"locus076","locus191",0.002744,NA,NA,NA,1,NA,0.240144,NA,1,1
"locus076","locus235",1,0.00074,NA,NA,1,NA,0.31724,NA,1,1
"locus076","locus263",1,0.04083,NA,NA,1,NA,1,NA,0.994112,1
"locus080","locus137",1,0.47457,NA,1,1,NA,0.030252,NA,1,1
"locus080","locus184",1,0.24656,NA,1,1,NA,0.01164,NA,1,1
"locus080","locus231",1,1,NA,NA,1,NA,0.01992,NA,1,1
"locus080","locus248",0.029328,1,NA,NA,1,NA,1,1,1,1
"locus080","locus274",0.699304,1,NA,NA,1,NA,0.01756,NA,1,1
"locus083","locus096",0.049768,NA,NA,NA,1,NA,0.134976,NA,1,1
"locus083","locus116",0.071958,NA,NA,NA,1,NA,0.039816,NA,1,1
"locus096","locus189",1,0.013668,NA,NA,1,NA,1,1,1,1
"locus098","locus191",1,NA,NA,NA,1,NA,0.0455,1,0.542392,1
"locus098","locus215",0.04792,NA,NA,NA,1,NA,1,1,1,1
"locus100","locus134",1,0.014244,NA,NA,1,1,1,NA,1,1
"locus100","locus148",0.305896,0.003264,NA,1,0.28283,NA,0.42174,NA,1,1
"locus100","locus236",1,0.49784,NA,NA,1,NA,1,1,0.048276,1
"locus100","locus237",1,0.044952,NA,NA,1,NA,1,0.23681,1,1
"locus106","locus360",0.804432,1,NA,NA,1,NA,0.01495,NA,0.531672,1
"locus116","locus119",0.0101,1,NA,NA,0.57548,NA,1,NA,1,1
"locus119","locus256",0.01363,1,NA,NA,1,NA,1,NA,0.780168,1
"locus119","locus291",0.956922,0.956922,NA,NA,0.19288,NA,0.01477,NA,0.956922,1
"locus120","locus235",1,0.039036,NA,NA,1,NA,1,1,1,1
"locus128","locus323",0.00783,0.971232,NA,NA,0.971232,NA,0.971232,NA,0.971232,1
"locus129","locus195",1,0.611568,1,NA,1,NA,1,1,0.031206,1
"locus130","locus161",1,NA,NA,NA,1,NA,1,NA,0.038856,1
"locus130","locus280",1,NA,NA,NA,1,NA,0.031544,NA,1,1
"locus134","locus236",1,0.0105,NA,NA,1,NA,1,1,1,1
"locus134","locus274",0.02444,1,NA,NA,1,NA,1,NA,1,1
"locus135","locus146",1,1,NA,1,1,NA,0.029244,NA,1,1
"locus135","locus236",0.015336,1,NA,NA,1,NA,1,1,1,1
"locus137","locus237",1,0.032304,NA,NA,1,NA,1,1,1,1
"locus139","locus157",0.04484,NA,NA,NA,1,NA,1,NA,1,1
"locus140","locus157",0.041776,NA,NA,NA,1,NA,1,NA,1,1
"locus148","locus360",1,0.0457,NA,NA,1,NA,1,NA,1,1
"locus151","locus161",1,NA,NA,1,1,NA,1,NA,0.04362,1
"locus151","locus176",0.016704,NA,NA,NA,1,NA,1,NA,1,1
"locus161","locus176",1,NA,NA,NA,1,NA,0.023192,NA,1,1
"locus165","locus215",1,NA,NA,NA,1,NA,0.0136,1,1,1
"locus165","locus286",0.880248,1,NA,NA,1,NA,1,NA,0.04676,1
"locus170","locus231",1,0.04029,NA,NA,1,NA,1,NA,1,1
"locus170","locus239",1,0.3594,NA,NA,1,NA,1,1,0.032148,1
"locus186","locus322",0.01152,0.465808,NA,NA,0.741004,NA,0.741004,NA,0.740694,1
"locus186","locus329",0.01738,1,NA,NA,1,NA,1,NA,1,1
"locus188","locus190",1,0,NA,NA,0.98734,NA,1,1,1,1
"locus188","locus292",0.30852,0.072336,NA,NA,0.511476,NA,0.01978,NA,0.90781,1
"locus189","locus237",1,1,NA,NA,1,NA,0.022236,1,1,1
"locus190","locus323",0.442744,1,NA,NA,1,NA,1,NA,0.01521,1
"locus191","locus264",1,NA,NA,NA,1,NA,0.696468,NA,0.04964,1
"locus202","locus248",1,1,NA,NA,1,NA,0.007212,1,1,1
"locus202","locus291",1,1,NA,NA,1,1,0.020568,NA,1,1
"locus215","locus360",0.031088,NA,NA,NA,0.3456,NA,0.373932,NA,0.818556,1
"locus231","locus280",1,1,NA,NA,1,NA,1,NA,0.03983,1
"locus231","locus314",1,0.04692,NA,1,1,NA,1,NA,1,1
"locus231","locus332",1,0.00919,NA,NA,1,NA,1,NA,1,1
"locus231","locus358",1,1,NA,NA,1,NA,1,NA,0.04104,1
"locus236","locus321",0.734316,0.24316,NA,NA,0.734316,NA,0.02966,NA,0.734316,1
"locus237","locus280",1,0.04042,NA,NA,1,NA,0.161864,NA,1,1
"locus237","locus358",0.03978,1,NA,NA,1,NA,1,NA,1,1
