"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus139","locus140",0,0,NA,0.04744,0,NA,0.000224,5
"locus184","locus186",3e-05,3e-05,NA,0.166152,0.014874,NA,0.111632,3
"Dc14945","Dc22883",0.024344,0.024344,NA,NA,1,NA,1,2
"Dc20232","locus291",0.53788,0.339524,NA,NA,0.04881,NA,0.043096,2
"Dc33907","locus146",0.526988,0.245874,NA,1,0.041104,NA,0.02815,2
"locus064","locus264",0.026672,0.597536,NA,NA,0.03093,NA,1,2
"locus083","locus116",0.047972,NA,NA,NA,0.029862,NA,0.739364,2
"locus165","locus227",0.008256,1,1,NA,0.01553,1,1,2
"locus188","locus329",0.000248,0.508004,NA,NA,0.037002,NA,0.508004,2
"Dc01018","Dc14022",0.0418,1,NA,NA,1,1,1,1
"Dc01018","Dc46984",0.021,0.599056,NA,NA,1,1,1,1
"Dc01018","Dc49080",1,1,1,NA,0.01392,1,1,1
"Dc01018","locus004",1,0.863682,NA,1,0.65688,NA,0.04971,1
"Dc01661","Dc47572",1,0.01336,NA,NA,1,1,1,1
"Dc01661","locus040",0.405714,0.046048,NA,NA,1,NA,1,1
"Dc01661","locus076",0.253824,1,NA,NA,1,NA,0.008128,1
"Dc01661","locus077",1,0.01039,NA,1,1,NA,1,1
"Dc01661","locus301",0.016264,1,NA,NA,1,NA,1,1
"Dc01707","Dc22883",1,0.36216,NA,NA,1,NA,0.036736,1
"Dc01707","Dc35779",1,0.01427,NA,NA,0.821784,1,1,1
"Dc01707","Dc49080",1,1,1,NA,0.04908,1,0.27066,1
"Dc01707","locus004",1,0.00702,NA,0.809152,1,NA,1,1
"Dc01707","locus045",1,1,NA,NA,0.037496,NA,1,1
"Dc01707","locus060",1,1,NA,1,0.00085,NA,1,1
"Dc01707","locus096",0.629694,0.937272,0.937272,NA,0.03243,NA,0.553528,1
"Dc01707","locus215",0.080376,NA,NA,NA,1,1,0.042432,1
"Dc01784","Dc28124",1,0.02039,NA,NA,1,1,1,1
"Dc01784","Dc47935",1,0.00933,NA,NA,1,1,1,1
"Dc01784","locus186",0.03202,0.571856,NA,1,1,NA,1,1
"Dc01784","locus256",0.01238,1,NA,NA,1,1,1,1
"Dc02951","Dc08463",0.03152,1,NA,NA,0.43336,1,1,1
"Dc02951","Dc10878",1,0.02712,NA,NA,0.294546,NA,1,1
"Dc02951","locus014",0.767192,1,NA,1,1,NA,0.03872,1
"Dc02951","locus022",1,1,1,1,0.045348,NA,1,1
"Dc02951","locus129",1,0.03007,NA,1,1,NA,1,1
"Dc02951","locus134",0.518228,0.045472,NA,NA,0.052296,NA,1,1
"Dc02951","locus256",0.09744,1,NA,NA,0.0201,1,1,1
"Dc03456","Dc08865",1,0.02896,NA,NA,1,1,0.7664,1
"Dc03456","Dc40235",0.189176,1,NA,NA,0.04924,0.770934,1,1
"Dc03456","locus014",1,0.00259,NA,1,1,NA,1,1
"Dc03456","locus157",0.031428,NA,NA,NA,0.385276,NA,0.385276,1
"Dc03456","locus323",0.502926,0.007872,NA,NA,0.600548,NA,1,1
"Dc03556","Dc08054",0.02248,1,NA,NA,1,1,1,1
"Dc03556","Dc31007",0.930056,NA,NA,NA,0.026094,NA,0.930056,1
"Dc03556","locus008",1,0.04275,NA,1,1,NA,1,1
"Dc03556","locus041",0.031104,1,NA,NA,1,NA,1,1
"Dc03556","locus096",1,0.00695,1,NA,1,NA,1,1
"Dc03556","locus188",0.026584,0.140166,NA,NA,0.670344,NA,0.701158,1
"Dc03556","locus264",1,1,NA,NA,0.033424,NA,1,1
"Dc06503","Dc27955",1,1,NA,NA,0.045808,NA,1,1
"Dc06503","Dc35779",1,1,NA,NA,0.007712,NA,1,1
"Dc06503","Dc62188",1,0.001912,NA,NA,0.09996,NA,1,1
"Dc06503","locus041",1,0.966468,NA,NA,0.001672,NA,0.966468,1
"Dc06503","locus301",1,0.047536,NA,NA,1,NA,1,1
"Dc07300","Dc33714",0.671712,1,NA,NA,0.03576,1,1,1
"Dc07300","Dc35779",1,0.01089,NA,NA,1,1,1,1
"Dc07300","Dc48207",0.02251,1,NA,NA,1,1,1,1
"Dc07300","Dc49080",1,0.02908,NA,NA,1,1,1,1
"Dc07300","Dc58248",0.831276,0.831276,NA,0.831276,0.03488,NA,0.503616,1
"Dc07300","locus025",1,0.00108,1,1,1,NA,0.36014,1
"Dc07300","locus055",1,1,NA,NA,0.007832,NA,1,1
"Dc07300","locus237",1,0.0221,NA,NA,1,0.381496,1,1
"Dc07300","locus239",1,1,NA,NA,0.422648,1,0.04896,1
"Dc07300","locus263",0.022976,0.958476,NA,NA,0.958476,NA,0.958476,1
"Dc07300","locus359",0.013736,0.954306,NA,NA,0.789402,NA,0.799928,1
"Dc07937","Dc08463",1,0.02691,NA,NA,0.37236,1,1,1
"Dc07937","locus003",1,1,NA,1,1,NA,0.03837,1
"Dc07937","locus047",0.267396,1,NA,NA,1,NA,0.011848,1
"Dc07937","locus098",0.023208,0.623208,NA,NA,1,NA,1,1
"Dc07937","locus292",0.019696,0.70725,NA,NA,1,NA,1,1
"Dc08054","Dc13592",1,1,NA,NA,1,1,0.04938,1
"Dc08054","locus008",1,0.479574,NA,1,0.03115,NA,0.087744,1
"Dc08054","locus025",1,0.04572,NA,1,1,NA,0.55868,1
"Dc08054","locus062",0.78333,0.965884,NA,0.965884,0.503264,NA,0.04975,1
"Dc08054","locus083",0.005508,NA,NA,NA,1,NA,1,1
"Dc08054","locus139",0.04685,0.514872,NA,1,1,NA,1,1
"Dc08054","locus140",0.04797,0.515936,NA,1,1,NA,1,1
"Dc08189","Dc14945",0.02761,1,NA,NA,0.64688,1,1,1
"Dc08189","Dc22887",1,0.03067,NA,NA,1,1,0.622168,1
"Dc08189","locus013",0.77328,1,NA,1,0.279376,NA,0.00883,1
"Dc08189","locus055",0.88182,0.882084,NA,NA,0.0462,NA,0.882084,1
"Dc08189","locus083",0.962544,NA,NA,NA,0.006642,NA,0.962544,1
"Dc08189","locus130",0.16442,NA,NA,NA,0.004758,NA,0.273862,1
"Dc08189","locus236",0.560936,1,NA,NA,0.04189,1,1,1
"Dc08189","locus248",0.0481,1,NA,NA,1,1,1,1
"Dc08189","locus274",0.3087,1,NA,NA,0.01376,NA,1,1
"Dc08189","locus323",0.477864,0.018168,NA,NA,0.891988,NA,1,1
"Dc08463","Dc10003",1,NA,NA,NA,0.043722,1,NA,1
"Dc08463","Dc11203",0.02858,1,NA,NA,1,1,0.425392,1
"Dc08463","Dc14945",0.00735,1,NA,NA,0.295064,1,1,1
"Dc08463","Dc52523",1,0.04469,NA,NA,0.598938,0.5704,1,1
"Dc08463","locus055",0.073458,1,NA,NA,0.04104,NA,1,1
"Dc08463","locus129",0.677472,0.48027,1,1,1,NA,0.018672,1
"Dc08463","locus130",0.406936,NA,NA,NA,0.923656,NA,0.031728,1
"Dc08463","locus146",0.006696,0.74875,1,1,1,NA,1,1
"Dc08463","locus202",1,1,NA,NA,0.724848,1,0.0159,1
"Dc08865","Dc62188",0.867176,1,NA,1,1,NA,0.01468,1
"Dc08865","locus098",1,0.015192,NA,NA,1,NA,1,1
"Dc08865","locus157",0.725464,NA,NA,NA,0.023208,NA,0.725464,1
"Dc08865","locus329",0.630896,0.761038,NA,NA,0.030528,NA,0.370002,1
"Dc10003","Dc27955",0.047936,NA,NA,NA,0.698122,NA,NA,1
"Dc10003","Dc33714",0.04392,NA,NA,NA,0.1523,1,NA,1
"Dc10003","locus106",0.888318,NA,NA,NA,0.040128,NA,NA,1
"Dc10003","locus332",0.201212,NA,1,NA,0.019224,NA,NA,1
"Dc10390","locus065",0.01184,0.702892,NA,0.702892,0.666132,NA,0.574936,1
"Dc10390","locus148",1,1,NA,1,1,NA,0.0345,1
"Dc10390","locus161",1,0.00595,NA,1,1,NA,1,1
"Dc10390","locus280",1,1,NA,NA,0.03728,NA,1,1
"Dc10878","locus202",1,0.98684,NA,NA,0.048912,NA,0.165468,1
"Dc10878","locus239",0.263538,0.007344,NA,NA,0.679312,NA,0.263538,1
"Dc10885","Dc58248",0.482456,1,NA,1,1,NA,0.03026,1
"Dc10885","locus014",0.04262,1,NA,1,0.786056,NA,1,1
"Dc10885","locus045",0.014552,0.926232,NA,NA,1,NA,1,1
"Dc10885","locus058",0.00953,1,NA,1,1,NA,1,1
"Dc10885","locus170",0.922816,0.922816,NA,1,0.00678,NA,1,1
"Dc10885","locus296",1,1,NA,NA,0.46692,NA,0.006648,1
"Dc11203","locus076",0.00756,1,NA,NA,1,NA,1,1
"Dc11203","locus129",1,1,NA,1,1,NA,0.00316,1
"Dc11203","locus135",0.278104,0.04154,NA,1,1,NA,1,1
"Dc11203","locus157",0.849808,NA,NA,NA,0.022134,NA,0.849808,1
"Dc11203","locus195",1,1,NA,NA,1,1,0.01045,1
"Dc11203","locus256",0.686556,0.043544,NA,NA,1,NA,1,1
"Dc11203","locus292",1,1,NA,NA,0.035304,NA,1,1
"Dc11714","Dc22883",0.647076,0.035712,NA,NA,1,NA,1,1
"Dc11714","Dc36571",0.03492,0.416562,NA,NA,1,0.271112,1,1
"Dc11714","Dc58248",1,1,NA,1,0.03782,NA,1,1
"Dc11714","locus022",0.04592,0.967928,NA,0.967928,0.113304,NA,0.698916,1
"Dc11714","locus047",0.510852,0.510852,NA,NA,0.009752,NA,0.524542,1
"Dc11714","locus227",1,1,1,NA,0.03438,1,1,1
"Dc13159","locus058",0.0335,0.208056,NA,1,1,NA,1,1
"Dc13592","Dc22883",1,1,NA,NA,1,NA,0.031632,1
"Dc13592","locus003",0.658904,0.941796,NA,0.941796,0.00145,NA,0.941796,1
"Dc13592","locus077",1,0.01237,NA,1,1,NA,1,1
"Dc13592","locus188",0.999728,0.017976,NA,NA,0.999728,NA,0.727146,1
"Dc13592","locus189",1,1,NA,1,0.00852,1,1,1
"Dc13592","locus239",0.587844,0.02064,NA,NA,0.587844,0.587844,0.380656,1
"Dc13592","locus321",0.01488,1,NA,NA,1,NA,1,1
"Dc14022","Dc35779",1,0.04406,NA,NA,1,1,1,1
"Dc14022","locus292",0.002632,1,NA,NA,1,NA,1,1
"Dc14945","locus055",1,0.043728,NA,NA,1,NA,1,1
"Dc14945","locus264",1,0.237114,NA,NA,0.026792,NA,1,1
"Dc14945","locus321",0.014056,0.200058,NA,NA,0.200058,NA,1,1
"Dc16747","Dc51020",1,1,NA,NA,1,1,0.04797,1
"Dc16747","locus184",1,0.045624,1,1,1,NA,1,1
"Dc16747","locus186",0.521648,8e-05,NA,1,1,NA,1,1
"Dc16747","locus292",1,0.021352,NA,NA,1,NA,1,1
"Dc18951","locus003",0.03772,1,NA,1,0.98835,NA,0.757264,1
"Dc18951","locus040",1,0.02108,NA,NA,1,NA,1,1
"Dc18951","locus053",0.03471,1,1,NA,0.926816,NA,1,1
"Dc18951","locus130",1,NA,NA,NA,0.007224,NA,1,1
"Dc18951","locus188",0.216894,0.00552,NA,NA,0.325264,NA,0.788534,1
"Dc18951","locus215",0.59442,NA,NA,NA,0.008632,0.59442,1,1
"Dc18951","locus264",1,0.617898,NA,NA,1,NA,0.042976,1
"Dc18951","locus280",0.894828,0.894828,NA,NA,0.018968,NA,1,1
"Dc18951","locus301",0.043072,1,NA,NA,0.298422,NA,1,1
"Dc20232","locus301",1,0.027424,NA,NA,1,NA,1,1
"Dc20232","locus360",0.88806,0.016656,NA,NA,0.88806,NA,0.88806,1
"Dc22883","Dc33714",0.667592,0.505134,NA,NA,0.667592,NA,0.023088,1
"Dc22883","Dc51020",0.033472,0.996876,NA,NA,0.996876,NA,0.996876,1
"Dc22883","locus006",1,0.016,NA,1,1,NA,1,1
"Dc22883","locus056",1,1,NA,1,0.02429,NA,1,1
"Dc22883","locus088",0.667372,0.229506,NA,NA,0.043496,NA,0.667372,1
"Dc22887","locus003",0.516024,1,NA,1,0.852114,NA,0.00727,1
"Dc22887","locus004",1,1,NA,1,0.03253,NA,1,1
"Dc22887","locus064",0.185096,0.81786,NA,0.667432,0.03675,NA,0.185096,1
"Dc22887","locus148",1,1,NA,1,0.883176,NA,0.02607,1
"Dc22887","locus237",1,1,NA,NA,1,1,0.02897,1
"Dc22887","locus239",1,1,NA,NA,0.00474,1,1,1
"Dc27955","Dc41234",0.039078,1,NA,NA,NA,NA,1,1
"Dc27955","locus013",0.02379,1,NA,1,0.175984,NA,1,1
"Dc27955","locus148",0.04813,1,NA,1,0.359408,NA,0.457446,1
"Dc28124","Dc41234",0.016608,0.829012,NA,NA,NA,NA,1,1
"Dc28124","Dc48950",1,1,NA,NA,0.02632,1,1,1
"Dc28124","locus027",0.004508,0.161034,NA,NA,NA,NA,NA,1
"Dc28124","locus041",0.045408,0.293154,NA,NA,1,NA,1,1
"Dc28124","locus080",1,0.032344,NA,NA,1,NA,1,1
"Dc28124","locus239",1,1,NA,NA,0.03763,1,1,1
"Dc28776","locus041",0.0202,0.40479,NA,NA,0.983972,NA,0.983972,1
"Dc28776","locus073",1,1,1,1,0.022884,NA,1,1
"Dc28776","locus074",0.13348,1,1,1,0.245832,NA,0.003204,1
"Dc28776","locus202",0.01947,1,NA,NA,1,1,1,1
"Dc28776","locus322",0.484626,0.031656,NA,NA,0.804608,NA,0.484626,1
"Dc28776","locus358",1,0.035288,NA,NA,0.968922,NA,1,1
"Dc30071","Dc58248",0.388056,0.02725,NA,1,0.739332,NA,1,1
"Dc30071","locus151",1,NA,NA,0.050094,0.028416,NA,1,1
"Dc30071","locus184",1,0.037932,1,1,1,NA,0.57925,1
"Dc30071","locus236",0.879426,0.879426,NA,NA,0.00602,0.879426,0.73868,1
"Dc33714","Dc51020",0.063032,0.854576,NA,NA,0.00836,0.854576,0.744372,1
"Dc33714","locus055",1,1,NA,NA,0.019008,NA,1,1
"Dc33714","locus170",0.94792,0.94792,NA,1,0.03736,NA,0.94792,1
"Dc33714","locus280",1,0.03716,NA,NA,1,NA,1,1
"Dc33714","locus358",0.933216,1,NA,NA,0.043656,NA,1,1
"Dc33907","Dc62188",1,0.03035,NA,0.797304,1,NA,1,1
"Dc33907","locus047",0.009808,0.957752,NA,NA,0.08613,NA,0.729316,1
"Dc33907","locus170",1,0.535072,NA,1,0.00832,NA,1,1
"Dc33907","locus190",1,1,NA,NA,0.01493,1,1,1
"Dc34902","Dc40235",1,0.666848,NA,NA,0.02083,1,1,1
"Dc34902","locus134",1,0.001368,NA,NA,1,NA,1,1
"Dc34902","locus176",1,NA,NA,NA,1,NA,0.034068,1
"Dc34902","locus188",0.208026,1,NA,NA,1,NA,0.033648,1
"Dc34902","locus292",0.044344,0.733004,NA,NA,0.297054,NA,1,1
"Dc34902","locus332",1,0.02148,NA,NA,1,NA,0.624816,1
"Dc34902","locus360",0.991962,1,NA,NA,0.015848,NA,1,1
"Dc35779","Dc36616",0.796448,0.95604,NA,NA,0.00653,0.95604,0.95604,1
"Dc35779","Dc55481",0.01681,1,NA,1,0.872648,NA,1,1
"Dc35779","Dc62188",0.820816,1,NA,1,0.01668,NA,1,1
"Dc35779","locus035",0.764466,0.00448,NA,NA,1,NA,1,1
"Dc36571","locus065",0.68404,1,1,1,0.001332,NA,1,1
"Dc36571","locus282",0.02784,1,1,NA,0.285992,NA,1,1
"Dc36616","locus076",0.632142,0.0036,NA,NA,1,NA,1,1
"Dc36616","locus282",0.548048,1,1,NA,0.01874,NA,1,1
"Dc36616","locus358",0.982692,0.026832,NA,NA,0.982692,NA,0.77346,1
"Dc36616","locus360",0.443424,0.443424,NA,NA,0.000264,NA,0.443424,1
"Dc40235","locus135",1,1,NA,1,0.03709,NA,1,1
"Dc40235","locus170",1,0.04543,NA,1,1,NA,1,1
"Dc40235","locus292",1,0.026856,NA,NA,0.734328,NA,1,1
"Dc41234","Dc49080",0.014864,0.199458,1,NA,NA,NA,1,1
"Dc41234","locus055",0.040482,0.774696,NA,NA,NA,NA,0.16666,1
"Dc41234","locus060",0.035916,0.161896,NA,NA,NA,NA,0.463332,1
"Dc41234","locus129",1,1,NA,NA,NA,NA,0.035118,1
"Dc46984","locus035",1,0.03316,NA,NA,1,NA,1,1
"Dc46984","locus047",0.588276,0.588276,NA,NA,0.043976,NA,0.408444,1
"Dc46984","locus106",0.417294,0.004368,NA,NA,0.906032,NA,0.906032,1
"Dc46984","locus176",0.0324,NA,NA,NA,0.591034,NA,0.27998,1
"Dc47572","Dc49184",0.04541,0.738304,NA,NA,0.838476,1,1,1
"Dc47572","Dc62188",1,1,NA,1,1,NA,0.03587,1
"Dc47572","locus139",1,0.02779,NA,1,0.200232,NA,1,1
"Dc47572","locus140",1,0.02411,NA,1,0.214016,NA,1,1
"Dc47572","locus188",0.004856,1,NA,NA,1,NA,1,1
"Dc47572","locus314",1,0.034256,NA,NA,1,NA,1,1
"Dc47572","locus360",0.708522,1,NA,NA,0.031288,NA,1,1
"Dc47935","locus058",0.0157,0.449688,NA,1,1,NA,1,1
"Dc48950","Dc49184",1,0.04725,NA,NA,1,1,1,1
"Dc48950","Dc58248",1,1,NA,0.900816,0.00394,NA,1,1
"Dc48950","locus045",0.889552,0.889552,NA,NA,0.138234,NA,0.044744,1
"Dc48950","locus058",0.04178,1,NA,0.81132,1,NA,1,1
"Dc48950","locus129",0.922064,0.01136,NA,1,1,NA,1,1
"Dc48950","locus301",1,0.045512,NA,NA,1,NA,1,1
"Dc48950","locus329",0.027,0.391504,NA,NA,0.391504,NA,0.327522,1
"Dc49080","Dc58248",1,0.04698,NA,1,1,NA,1,1
"Dc49080","locus076",0.577004,0.05136,NA,NA,0.577004,NA,0.046784,1
"Dc49080","locus100",0.534896,0.534896,NA,NA,0.033792,NA,0.413514,1
"Dc49080","locus119",0.24147,0.94878,NA,NA,0.24147,NA,0.002128,1
"Dc49080","locus120",1,1,NA,NA,0.046448,NA,1,1
"Dc49184","locus013",1,1,NA,1,0.02274,NA,1,1
"Dc49184","locus039",0.206094,0.98256,NA,NA,0.002752,NA,1,1
"Dc49184","locus047",0.00432,1,1,NA,1,NA,1,1
"Dc51020","locus065",0.03651,1,NA,1,1,NA,1,1
"Dc51020","locus358",0.00572,1,NA,NA,1,NA,1,1
"Dc52523","locus013",0.87348,0.934496,NA,0.934496,0.03743,NA,0.52296,1
"Dc52523","locus027",0.04198,0.795306,NA,NA,NA,NA,NA,1
"Dc52523","locus053",0.04152,1,NA,NA,0.307056,NA,1,1
"Dc52523","locus093",0.019,1,1,NA,1,NA,1,1
"Dc52523","locus236",1,0.499848,NA,NA,0.03928,1,1,1
"Dc52523","locus280",0.120552,0.838824,NA,NA,0.838824,NA,0.025144,1
"Dc55481","locus076",0.808324,0.045368,NA,NA,0.808324,NA,0.168618,1
"Dc55481","locus148",1,1,1,1,0.004104,NA,1,1
"Dc55481","locus329",0.02996,0.875276,NA,NA,0.778968,NA,1,1
"Dc58248","locus119",0.042664,1,NA,NA,1,NA,1,1
"Dc62188","locus022",0.02015,0.21777,NA,0.112608,0.84092,NA,0.84092,1
"Dc62188","locus128",1,1,NA,1,0.0408,NA,1,1
"Dc62188","locus186",0.03069,1,NA,1,1,NA,1,1
"Dc62188","locus188",1,2e-04,1,NA,1,NA,1,1
"Dc62188","locus191",1,NA,1,NA,1,0.04697,1,1
"Dc67011","locus058",1,0.89613,NA,1,0.03664,NA,0.1496,1
"Dc67011","locus231",0.163794,0.001416,NA,NA,1,NA,1,1
"locus003","locus008",1,0.681336,NA,1,0.03444,NA,0.58708,1
"locus003","locus025",0.828494,0.623584,NA,NA,0.034664,NA,0.5568,1
"locus003","locus286",1,1,NA,NA,0.046328,NA,1,1
"locus003","locus322",0.855762,0.94516,NA,NA,0.035056,NA,0.94516,1
"locus004","locus056",1,0.864784,NA,1,0.02561,NA,1,1
"locus004","locus088",1,1,NA,NA,1,NA,0.02632,1
"locus004","locus165",1,0.491544,NA,NA,0.011096,NA,1,1
"locus005","locus184",0.03285,1,NA,1,1,NA,1,1
"locus005","locus188",0.016632,1,NA,NA,1,NA,1,1
"locus005","locus248",1,0.21948,NA,NA,0.44046,1,0.04517,1
"locus005","locus360",0.627408,0.658472,NA,NA,0.658472,NA,0.047344,1
"locus006","locus025",1,1,NA,NA,0.29364,NA,0.041816,1
"locus006","locus100",1,1,NA,NA,0.007392,NA,1,1
"locus006","locus128",4e-04,1,NA,1,1,NA,1,1
"locus006","locus190",1,0.01462,NA,NA,1,1,1,1
"locus006","locus323",0.499428,0.994032,NA,NA,0.037152,NA,0.994032,1
"locus008","locus039",1,1,NA,NA,0.010504,NA,1,1
"locus008","locus048",1,0.0016,NA,NA,1,NA,1,1
"locus008","locus120",1,0.451686,NA,NA,0.048936,NA,1,1
"locus008","locus148",1,0.00303,NA,1,1,NA,1,1
"locus008","locus239",0.03665,1,NA,NA,0.051184,1,1,1
"locus013","locus030",0.0091,1,1,NA,0.653144,NA,1,1
"locus013","locus077",0.04758,1,NA,1,0.990752,NA,1,1
"locus013","locus096",0.299928,0.219336,NA,NA,0.219336,NA,0.00788,1
"locus013","locus188",0.009424,0.186396,NA,NA,0.822316,NA,0.4882,1
"locus013","locus231",1,0.869988,NA,NA,1,NA,0.030312,1
"locus013","locus256",1,0.475938,NA,NA,1,NA,0.018368,1
"locus013","locus280",0.112554,1,NA,NA,1,NA,0.019512,1
"locus014","locus027",0.01386,1,1,NA,NA,NA,NA,1
"locus014","locus030",1,1,1,NA,0.01569,NA,1,1
"locus014","locus045",0.871492,0.026976,NA,NA,0.180906,NA,1,1
"locus014","locus120",0.9702,1,NA,NA,0.013936,NA,1,1
"locus014","locus165",0.389132,0.14421,NA,NA,0.001568,NA,0.334,1
"locus014","locus191",0.022424,NA,NA,NA,0.80082,0.857052,0.857052,1
"locus014","locus274",0.390846,0.006232,NA,NA,0.390846,NA,0.40158,1
"locus022","locus048",1,0.002976,NA,NA,1,NA,0.255942,1
"locus022","locus096",0.339312,0.011792,NA,NA,0.795718,NA,0.339312,1
"locus022","locus146",1,0.914592,NA,1,0.04072,NA,1,1
"locus024","locus176",0.005382,NA,NA,NA,1,NA,1,1
"locus025","locus060",0.858352,1,NA,1,1,NA,0.01943,1
"locus025","locus116",0.045336,0.88172,NA,NA,0.88172,NA,0.58656,1
"locus025","locus161",1,1,NA,1,0.03485,NA,0.101936,1
"locus025","locus314",0.020224,1,NA,NA,1,NA,1,1
"locus025","locus329",1,0.043768,NA,NA,1,NA,1,1
"locus027","locus076",0.017096,0.201126,NA,NA,NA,NA,NA,1
"locus027","locus192",1,0.000948,NA,NA,NA,NA,NA,1
"locus027","locus332",0.045552,0.768182,NA,NA,NA,NA,NA,1
"locus030","locus073",1,0.0411,NA,1,0.935874,NA,0.897176,1
"locus030","locus329",0.241818,0.241818,NA,NA,0.001992,NA,0.916146,1
"locus035","locus100",0.823496,0.823496,NA,NA,0.02532,NA,0.283848,1
"locus035","locus151",1,NA,NA,1,0.00788,NA,1,1
"locus035","locus188",1,1,NA,NA,0.028264,NA,1,1
"locus035","locus189",0.04404,0.814476,NA,NA,0.604504,0.688836,0.814476,1
"locus035","locus202",1,0.65588,NA,NA,0.02765,1,1,1
"locus035","locus264",1,0.01698,1,NA,1,NA,1,1
"locus038","locus039",1,0.01036,NA,NA,0.059934,NA,1,1
"locus038","locus139",1,1,NA,1,0.01436,NA,0.375192,1
"locus038","locus140",1,1,NA,1,0.01518,NA,0.3718,1
"locus038","locus296",0.49154,0.322206,NA,NA,0.020496,NA,0.49154,1
"locus039","locus041",0.029072,0.232374,NA,NA,0.510184,NA,0.510184,1
"locus039","locus100",1,1,NA,NA,0.035456,NA,1,1
"locus039","locus116",1,0.03784,NA,NA,0.997632,NA,1,1
"locus039","locus119",1,0.03842,1,NA,1,NA,1,1
"locus039","locus148",1,1,NA,1,0.00387,NA,1,1
"locus039","locus161",1,0.913296,NA,1,0.00909,NA,1,1
"locus039","locus314",0.977598,0.0116,NA,NA,0.977598,NA,1,1
"locus040","locus186",0.120456,1,NA,1,0.02114,NA,1,1
"locus040","locus248",1,1,NA,NA,0.01486,1,1,1
"locus040","locus286",0.020096,1,NA,NA,1,NA,1,1
"locus040","locus291",0.004664,1,NA,NA,1,NA,1,1
"locus041","locus045",1,0.033208,NA,NA,1,NA,0.445692,1
"locus041","locus074",1,0.02797,NA,1,1,NA,1,1
"locus041","locus098",0.768504,1,1,NA,0.03696,NA,1,1
"locus041","locus202",0.02384,1,NA,NA,1,1,1,1
"locus045","locus053",0.682748,0.506274,NA,NA,0.682748,NA,0.042368,1
"locus045","locus120",0.536364,0.895862,NA,NA,0.536364,NA,0.043536,1
"locus045","locus188",0.67988,0.002568,NA,NA,0.697488,NA,0.337392,1
"locus045","locus237",1,0.03944,NA,NA,1,1,1,1
"locus047","locus157",0.845008,NA,NA,NA,0.372652,NA,0.0447,1
"locus047","locus231",0.535446,0.002528,NA,NA,0.535446,NA,0.535446,1
"locus047","locus332",1,0.003336,NA,NA,1,NA,1,1
"locus047","locus359",1,0.028544,NA,NA,1,NA,1,1
"locus048","locus058",0.03155,0.211072,NA,1,0.211072,NA,1,1
"locus048","locus148",1,0.01976,NA,0.189008,1,NA,1,1
"locus048","locus264",0.41952,0.41952,NA,NA,0.41952,NA,0.035288,1
"locus053","locus120",1,1,NA,NA,1,NA,0.015352,1
"locus053","locus191",1,NA,NA,NA,1,1,0.04336,1
"locus053","locus329",0.93425,1.6e-05,NA,NA,0.131136,NA,0.890452,1
"locus055","locus157",1,NA,1,NA,0.030616,NA,1,1
"locus055","locus274",1,1,1,NA,1,NA,0.00293,1
"locus056","locus060",1,1,NA,1,0.147928,NA,0.00656,1
"locus056","locus135",0.02091,1,NA,1,1,NA,1,1
"locus058","locus076",0.412308,0.457492,NA,NA,0.457492,NA,0.010648,1
"locus058","locus096",1,0.030032,NA,NA,1,NA,1,1
"locus058","locus130",0.048852,NA,NA,NA,0.63678,NA,1,1
"locus058","locus165",1,0.001104,NA,NA,1,NA,1,1
"locus058","locus191",0.043616,NA,NA,NA,0.254886,0.569132,0.569132,1
"locus060","locus073",0.03818,1,NA,0.668088,1,NA,1,1
"locus061","locus165",0.043194,NA,NA,NA,0.993676,NA,1,1
"locus061","locus215",1,NA,NA,NA,0.012176,0.77181,1,1
"locus062","locus191",1,NA,NA,NA,0.003456,1,1,1
"locus062","locus264",0.419952,0.7978,NA,NA,0.043072,NA,0.7978,1
"locus064","locus146",1,0.015348,1,1,0.87995,NA,1,1
"locus064","locus189",1,0.02772,NA,NA,1,1,1,1
"locus065","locus359",0.49782,0.577844,NA,NA,0.000768,NA,1,1
"locus074","locus137",0.665648,0.04407,NA,1,0.665648,NA,0.962008,1
"locus074","locus292",1,1,NA,NA,0.011752,NA,1,1
"locus076","locus116",0.008384,1,NA,NA,1,NA,1,1
"locus076","locus129",1,0.015,NA,NA,1,NA,1,1
"locus076","locus137",0.125238,0.279088,NA,NA,0.005952,NA,0.279088,1
"locus076","locus186",0.046816,0.45611,NA,NA,0.40548,NA,0.40548,1
"locus076","locus190",0.215808,1,NA,NA,0.036184,NA,1,1
"locus076","locus191",0.002058,NA,NA,NA,0.160096,NA,0.6879,1
"locus076","locus215",1,NA,1,NA,0.040824,NA,0.162576,1
"locus076","locus231",1,0.04208,NA,NA,1,NA,1,1
"locus076","locus235",0.928152,0.000592,NA,NA,0.23793,NA,1,1
"locus076","locus263",1,0.032664,NA,NA,1,NA,0.745584,1
"locus080","locus137",1,0.379656,NA,1,0.02521,NA,1,1
"locus080","locus184",1,0.197248,NA,1,0.0097,NA,1,1
"locus080","locus231",1,1,NA,NA,0.015936,NA,1,1
"locus080","locus248",0.02444,1,NA,NA,1,1,1,1
