"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc03556","locus014",0.134926,0.46327,NA,0.771168,0.772538,NA,0.75122,0
"Dc03556","locus022",0.675806,0.129356,0.331258,0.425654,0.377208,NA,0.127966,0
"Dc03556","locus024",0.492696,0.693584,NA,0.400452,0.116992,NA,0.802846,0
"Dc03556","locus025",0.405408,0.029182,NA,1,0.453146,NA,0.29175,1
"Dc03556","locus027",0.456318,0.36748,NA,NA,NA,NA,NA,0
"Dc03556","locus030",0.991022,0.69089,NA,NA,0.671134,NA,0.34788,0
"Dc03556","locus035",0.499472,0.562106,1,NA,0.576968,NA,1,0
"Dc03556","locus038",0.255692,0.068248,1,NA,0.819572,NA,0.674496,0
"Dc03556","locus039",0.187218,0.736066,NA,NA,0.735434,NA,0.68454,0
"Dc03556","locus040",0.573624,1,NA,NA,0.560542,NA,0.090972,0
"Dc03556","locus041",0.007776,1,NA,NA,0.875788,NA,1,1
"Dc03556","locus045",0.175038,0.82716,NA,NA,0.836524,NA,0.69794,0
"Dc03556","locus047",0.835284,0.214434,NA,NA,0.08295,NA,0.617142,0
"Dc03556","locus048",0.083172,0.08953,NA,NA,0.035024,NA,0.63867,1
"Dc03556","locus053",0.885174,0.270326,NA,NA,0.674884,NA,0.171216,0
"Dc03556","locus055",0.883364,0.503622,NA,NA,0.910306,NA,1,0
"Dc03556","locus056",0.715564,0.293848,1,1,0.461336,NA,0.817784,0
"Dc03556","locus058",0.741902,0.097904,1,1,0.87447,NA,0.231618,0
"Dc03556","locus060",0.193556,0.124936,NA,0.1419,0.035424,NA,1,1
"Dc03556","locus061",0.818196,NA,NA,NA,0.26404,NA,1,0
"Dc03556","locus062",0.188048,0.830452,NA,0.333784,0.638716,NA,0.538936,0
"Dc03556","locus064",0.45983,0.5038,NA,1,0.940176,NA,1,0
"Dc03556","locus065",0.299266,0.439568,NA,1,0.30778,NA,1,0
"Dc03556","locus073",0.666136,0.57024,NA,0.197308,0.508684,NA,0.897994,0
"Dc03556","locus074",0.908764,0.616612,1,0.620224,0.487822,NA,0.35324,0
"Dc03556","locus076",0.134786,0.982522,NA,NA,0.760746,NA,0.880012,0
"Dc03556","locus077",0.82033,0.520242,NA,Inf,0.026778,NA,0.638018,1
"Dc03556","locus080",0.174852,0.959858,NA,NA,0.234488,NA,1,0
"Dc03556","locus083",0.741626,NA,NA,NA,0.373226,NA,1,0
"Dc03556","locus088",0.475666,0.140242,NA,NA,0.079644,NA,0.48355,0
"Dc03556","locus093",1,Inf,Inf,NA,0.137814,NA,1,0
"Dc03556","locus096",0.635328,0.00139,1,NA,1,NA,0.671376,1
"Dc03556","locus098",0.736378,0.493498,NA,NA,0.167804,NA,0.798372,0
"Dc03556","locus100",0.489582,0.152838,1,NA,0.231978,NA,0.48198,0
"Dc03556","locus106",0.032878,0.11157,NA,NA,0.196082,NA,1,1
"Dc03556","locus116",0.469368,0.917246,NA,NA,0.227746,NA,1,0
"Dc03556","locus119",0.20637,0.078506,NA,NA,0.627178,NA,0.758022,0
"Dc03556","locus120",0.688634,0.677424,NA,NA,0.759174,NA,1,0
"Dc03556","locus128",0.480632,0.069438,NA,1,0.753376,NA,1,0
"Dc03556","locus129",0.9864,0.559814,NA,0.658938,0.450182,NA,0.43903,0
"Dc03556","locus130",0.88943,NA,NA,NA,0.773226,NA,0.259172,0
"Dc03556","locus134",0.959216,0.58848,NA,NA,0.73166,NA,0.15465,0
"Dc03556","locus135",0.51933,0.066754,NA,0.61801,0.997236,NA,0.22211,0
"Dc03556","locus137",0.468108,0.135094,NA,0.431734,0.53562,NA,0.188016,0
"Dc03556","locus139",0.754904,0.051348,NA,0.145776,0.06526,NA,0.199458,0
"Dc03556","locus140",0.759516,0.052058,NA,0.144372,0.0631,NA,0.201122,0
"Dc03556","locus146",0.566802,0.398462,NA,1,0.825494,NA,1,0
"Dc03556","locus148",0.955356,0.532884,NA,0.047804,0.665744,NA,0.438936,1
"Dc03556","locus151",0.751644,NA,0.33196,0.599052,0.017342,NA,0.09012,1
"Dc03556","locus157",0.621298,NA,NA,NA,0.730072,NA,0.327872,0
"Dc03556","locus161",0.845586,0.505772,NA,0.619776,0.04674,NA,0.301456,1
"Dc03556","locus165",0.321022,0.58208,NA,NA,0.562884,NA,0.397302,0
"Dc03556","locus170",0.285892,0.951938,0.334074,1,0.321978,NA,0.816992,0
"Dc03556","locus176",0.057326,NA,NA,NA,0.05354,NA,0.223898,0
"Dc03556","locus184",0.686126,0.409912,1,1,0.906382,NA,0.418298,0
"Dc03556","locus186",0.945932,0.18828,NA,1,0.391348,NA,0.538656,0
"Dc03556","locus188",0.006646,0.046722,NA,NA,0.335172,NA,0.701158,2
"Dc03556","locus189",0.180568,0.541428,NA,1,0.29634,0.229822,0.72581,0
"Dc03556","locus190",0.268066,0.265854,NA,NA,0.707282,1,1,0
"Dc03556","locus191",0.934252,NA,NA,NA,0.941676,0.656398,0.218078,0
"Dc03556","locus192",0.598194,0.233922,NA,NA,0.802374,0.429558,0.48567,0
"Dc03556","locus195",0.78817,0.675334,NA,NA,0.014138,0.4856,0.637724,1
"Dc03556","locus202",0.075938,0.592314,0.334042,NA,0.258452,0.143418,0.462982,0
"Dc03556","locus215",0.017912,NA,NA,NA,0.468626,1,1,1
"Dc03556","locus227",0.888818,0.490974,Inf,NA,0.38543,0.486194,0.178244,0
"Dc03556","locus231",0.601332,0.698628,NA,NA,1,NA,0.667066,0
"Dc03556","locus235",0.618284,0.666958,NA,NA,0.511002,Inf,0.519592,0
"Dc03556","locus236",0.28936,0.03514,NA,NA,0.620484,1,0.127272,1
"Dc03556","locus237",0.240108,0.533622,NA,NA,0.466434,1,0.174062,0
"Dc03556","locus239",0.077072,0.702166,NA,NA,0.809106,1,0.745078,0
"Dc03556","locus248",0.152788,0.29935,NA,NA,0.132038,1,0.636364,0
"Dc03556","locus256",0.830998,0.52602,NA,NA,0.788448,1,0.663674,0
"Dc03556","locus263",0.8494,0.289646,NA,NA,0.630866,NA,0.265696,0
"Dc03556","locus264",0.70449,0.488786,NA,NA,0.008356,NA,0.459214,1
"Dc03556","locus274",0.826496,0.848776,NA,NA,0.598708,NA,0.199836,0
"Dc03556","locus280",0.66521,0.98782,NA,NA,0.564476,NA,1,0
"Dc03556","locus282",0.022904,0.23601,NA,NA,0.314104,NA,0.635748,1
"Dc03556","locus286",1,1,NA,NA,0.487178,NA,1,0
"Dc03556","locus291",0.547642,0.767216,NA,NA,0.020086,NA,0.45231,1
"Dc03556","locus292",0.900496,0.189772,NA,NA,0.641114,NA,0.669614,0
"Dc03556","locus296",0.868548,0.153138,NA,NA,0.030418,NA,0.022788,2
"Dc03556","locus301",0.738144,0.712752,Inf,NA,0.827408,NA,0.637414,0
"Dc03556","locus314",0.109754,0.7245,NA,NA,1,NA,0.620424,0
"Dc03556","locus321",0.177596,0.944568,NA,NA,0.965886,NA,0.520668,0
"Dc03556","locus322",0.329128,0.297188,NA,NA,0.447548,NA,1,0
"Dc03556","locus323",0.896556,0.35048,NA,NA,0.955158,NA,0.889098,0
"Dc03556","locus329",0.626912,0.719736,NA,NA,0.980796,NA,0.415852,0
"Dc03556","locus332",0.546834,0.527708,NA,NA,0.827116,NA,1,0
"Dc03556","locus358",0.507032,0.277634,NA,NA,0.38374,NA,0.189134,0
"Dc03556","locus359",0.374378,0.212136,NA,NA,0.512202,NA,1,0
"Dc03556","locus360",0.375326,0.809198,NA,NA,0.903244,NA,0.315314,0
"Dc06503","Dc07300",0.030852,0.950358,NA,NA,0.229698,NA,1,1
"Dc06503","Dc07937",0.648134,0.065074,NA,NA,0.171464,NA,0.500738,0
"Dc06503","Dc08054",0.511876,0.359084,NA,NA,1,NA,1,0
"Dc06503","Dc08189",0.72438,1,NA,NA,0.856112,NA,0.124964,0
"Dc06503","Dc08463",0.687604,0.248408,NA,NA,0.420516,NA,1,0
"Dc06503","Dc08865",0.749966,0.090216,NA,NA,0.736502,NA,1,0
"Dc06503","Dc10003",0.368244,NA,NA,NA,1,NA,NA,0
"Dc06503","Dc10390",0.304232,1,NA,NA,1,NA,0.250666,0
"Dc06503","Dc10878",0.227144,1,NA,NA,0.546898,NA,1,0
"Dc06503","Dc10885",0.389772,0.632952,NA,NA,0.094706,NA,1,0
"Dc06503","Dc11203",1,1,NA,NA,1,NA,1,0
"Dc06503","Dc11714",0.664608,0.340544,NA,NA,0.094274,NA,1,0
"Dc06503","Dc13159",0.803194,1,NA,NA,0.068696,NA,0.623182,0
"Dc06503","Dc13592",0.128092,1,NA,NA,0.579666,NA,1,0
"Dc06503","Dc14022",1,0.325216,NA,NA,Inf,NA,Inf,0
"Dc06503","Dc14945",0.675914,1,NA,NA,1,NA,1,0
"Dc06503","Dc16747",0.171112,0.436742,NA,NA,0.841498,NA,1,0
"Dc06503","Dc18951",0.49552,1,NA,NA,0.525298,NA,0.125694,0
"Dc06503","Dc20232",0.089232,0.456778,NA,NA,0.57341,NA,0.250652,0
"Dc06503","Dc22883",0.866216,0.79199,NA,NA,0.652942,NA,0.285238,0
"Dc06503","Dc22887",1,1,NA,NA,1,NA,0.249558,0
"Dc06503","Dc27955",0.351244,0.361336,NA,NA,0.011452,NA,1,1
"Dc06503","Dc28124",0.602574,1,NA,NA,0.057578,NA,1,0
"Dc06503","Dc28776",1,0.324582,NA,NA,0.548528,NA,1,0
"Dc06503","Dc30071",0.032272,0.410578,NA,NA,0.69986,NA,1,1
"Dc06503","Dc31007",0.018194,NA,NA,NA,0.560356,NA,1,1
"Dc06503","Dc33714",0.228808,0.853178,NA,NA,0.552744,NA,0.124814,0
"Dc06503","Dc33907",1,0.642034,NA,NA,0.369002,NA,0.500386,0
"Dc06503","Dc34902",1,0.645108,NA,NA,0.19833,NA,0.375156,0
"Dc06503","Dc35779",1,0.4301,NA,NA,0.001928,NA,1,1
"Dc06503","Dc36571",0.321694,0.8418,Inf,NA,0.840212,NA,1,0
"Dc06503","Dc36616",1,0.56999,NA,NA,1,NA,1,0
"Dc06503","Dc40235",1,0.247282,NA,NA,0.118744,NA,1,0
"Dc06503","Dc41234",0.036444,0.56101,Inf,NA,NA,NA,1,1
"Dc06503","Dc46984",0.086924,0.113108,NA,NA,0.348374,NA,0.123176,0
"Dc06503","Dc47572",0.603972,0.434722,NA,NA,0.700994,NA,1,0
"Dc06503","Dc47935",0.069732,0.25306,NA,NA,0.609614,NA,1,0
"Dc06503","Dc48207",1,1,NA,NA,0.216122,NA,Inf,0
"Dc06503","Dc48950",0.242312,0.028402,NA,NA,0.687376,NA,1,1
"Dc06503","Dc49080",0.825932,0.83334,Inf,NA,0.301908,NA,1,0
"Dc06503","Dc49184",0.848652,0.058364,NA,NA,0.637822,NA,Inf,0
"Dc06503","Dc51020",0.369806,1,NA,NA,0.664732,NA,1,0
"Dc06503","Dc52523",1,0.749476,NA,NA,0.937504,NA,1,0
"Dc06503","Dc55481",0.589822,0.855332,NA,NA,1,NA,1,0
"Dc06503","Dc58248",0.023344,0.540898,NA,NA,0.85334,NA,0.496326,1
"Dc06503","Dc62188",0.953262,0.000478,NA,NA,0.03332,NA,1,2
"Dc06503","Dc67011",1,1,Inf,NA,0.44507,NA,1,0
"Dc06503","locus003",0.358304,0.488122,NA,NA,1,NA,1,0
"Dc06503","locus004",1,0.708324,NA,NA,0.863294,NA,0.375526,0
"Dc06503","locus005",0.083112,0.078324,Inf,NA,0.888628,NA,0.4993,0
"Dc06503","locus006",0.515914,1,NA,NA,0.308236,NA,0.125622,0
"Dc06503","locus008",1,0.698282,NA,NA,0.296322,NA,1,0
"Dc06503","locus013",1,0.21597,NA,NA,0.700998,NA,1,0
"Dc06503","locus014",0.704046,0.849656,NA,NA,0.34902,NA,0.376146,0
"Dc06503","locus022",0.905474,0.236656,Inf,NA,0.145188,NA,0.125978,0
"Dc06503","locus024",1,0.715196,NA,NA,0.101434,NA,1,0
"Dc06503","locus025",1,0.439318,NA,NA,0.884628,NA,1,0
"Dc06503","locus027",1,0.129874,NA,NA,NA,NA,NA,0
"Dc06503","locus030",0.622442,0.515556,NA,NA,0.885184,NA,0.498586,0
"Dc06503","locus035",0.551692,1,Inf,NA,1,NA,1,0
"Dc06503","locus038",0.2101,0.01032,Inf,NA,0.185572,NA,1,1
"Dc06503","locus039",1,1,NA,NA,0.661416,NA,1,0
"Dc06503","locus040",0.07207,1,NA,NA,0.098936,NA,1,0
"Dc06503","locus041",1,0.322156,NA,NA,0.000418,NA,0.330058,1
"Dc06503","locus045",1,0.654352,NA,NA,0.26852,NA,0.285652,0
"Dc06503","locus047",0.203176,0.62979,NA,NA,0.235992,NA,0.377028,0
"Dc06503","locus048",1,1,NA,NA,0.111204,NA,1,0
"Dc06503","locus053",0.114732,0.360516,NA,NA,0.209102,NA,1,0
"Dc06503","locus055",1,0.418336,NA,NA,0.046334,NA,0.125136,1
"Dc06503","locus056",0.456288,0.659796,Inf,NA,1,NA,1,0
"Dc06503","locus058",0.4968,1,Inf,NA,0.231388,NA,1,0
"Dc06503","locus060",1,0.641714,NA,NA,1,NA,1,0
"Dc06503","locus061",0.600214,NA,NA,NA,0.15016,NA,0.28723,0
"Dc06503","locus062",0.686936,0.72749,NA,NA,0.074454,NA,0.125106,0
"Dc06503","locus064",0.626942,1,NA,NA,0.417436,NA,Inf,0
"Dc06503","locus065",1,1,NA,NA,0.089838,NA,Inf,0
"Dc06503","locus073",0.038798,0.555168,NA,NA,0.770568,NA,0.375086,1
"Dc06503","locus074",1,0.739566,Inf,NA,0.695982,NA,1,0
"Dc06503","locus076",1,0.172134,NA,NA,0.869174,NA,1,0
"Dc06503","locus077",1,0.314682,NA,NA,0.131886,NA,0.250886,0
"Dc06503","locus080",0.81868,0.604872,NA,NA,0.187898,NA,1,0
"Dc06503","locus083",1,NA,NA,NA,1,NA,0.333096,0
"Dc06503","locus088",0.05709,1,NA,NA,1,NA,0.37378,0
"Dc06503","locus093",1,Inf,Inf,NA,1,NA,0.125498,0
"Dc06503","locus096",0.383502,0.64127,Inf,NA,0.692294,NA,1,0
"Dc06503","locus098",0.449334,0.103934,NA,NA,0.114826,NA,1,0
"Dc06503","locus100",0.384224,0.483286,Inf,NA,0.82518,NA,1,0
"Dc06503","locus106",0.63499,0.577642,NA,NA,0.117722,NA,1,0
"Dc06503","locus116",0.816484,0.194684,NA,NA,0.566066,NA,0.376048,0
"Dc06503","locus119",0.409952,0.334094,NA,NA,0.235022,NA,0.50137,0
"Dc06503","locus120",0.559078,1,NA,NA,0.655188,NA,0.251516,0
"Dc06503","locus128",1,0.240792,NA,NA,0.064284,NA,1,0
"Dc06503","locus129",1,0.890676,NA,NA,0.176806,NA,1,0
"Dc06503","locus130",0.204654,NA,NA,NA,0.303244,NA,1,0
"Dc06503","locus134",0.191258,1,NA,NA,0.725448,NA,1,0
"Dc06503","locus135",0.530476,0.251898,NA,NA,0.017866,NA,0.497668,1
"Dc06503","locus137",0.59229,0.43847,NA,NA,0.048988,NA,0.24927,1
"Dc06503","locus139",1,1,NA,NA,1,NA,1,0
"Dc06503","locus140",1,1,NA,NA,1,NA,1,0
"Dc06503","locus146",0.146452,0.581068,NA,NA,0.102596,NA,1,0
"Dc06503","locus148",1,0.04216,NA,NA,0.587776,NA,0.249888,1
"Dc06503","locus151",0.847876,NA,Inf,NA,0.694662,NA,1,0
"Dc06503","locus157",1,NA,NA,NA,1,NA,0.124718,0
"Dc06503","locus161",1,0.305798,NA,NA,0.52406,NA,1,0
"Dc06503","locus165",0.819828,1,NA,NA,0.72058,NA,1,0
"Dc06503","locus170",0.25195,0.370872,Inf,NA,0.462162,NA,1,0
"Dc06503","locus176",0.65515,NA,NA,NA,0.611118,NA,0.4993,0
"Dc06503","locus184",0.084726,1,Inf,NA,0.305116,NA,1,0
"Dc06503","locus186",0.08764,0.160062,NA,NA,0.652876,NA,0.500342,0
"Dc06503","locus188",0.41774,0.714632,NA,NA,0.438248,NA,0.625988,0
"Dc06503","locus189",0.658654,0.479164,NA,NA,1,NA,1,0
"Dc06503","locus190",1,0.768564,NA,NA,0.532564,NA,0.37571,0
"Dc06503","locus191",1,NA,NA,NA,0.55096,NA,1,0
"Dc06503","locus192",1,0.606112,NA,NA,0.239688,NA,0.375126,0
"Dc06503","locus195",0.277778,0.858618,NA,NA,0.658522,NA,1,0
"Dc06503","locus202",0.663378,1,Inf,NA,0.66023,NA,0.500328,0
"Dc06503","locus215",0.70265,NA,Inf,NA,0.717776,NA,0.375842,0
"Dc06503","locus227",0.434578,1,Inf,NA,0.334342,NA,1,0
"Dc06503","locus231",0.445046,0.568484,NA,NA,0.470206,NA,0.572188,0
"Dc06503","locus235",0.391988,0.717808,NA,NA,0.77158,NA,1,0
"Dc06503","locus236",0.683246,0.083688,NA,NA,0.729506,NA,1,0
"Dc06503","locus237",0.514648,0.239746,NA,NA,0.370962,NA,0.125214,0
"Dc06503","locus239",0.104426,0.36814,NA,NA,0.422776,NA,1,0
"Dc06503","locus248",0.704046,0.326608,NA,NA,0.673242,NA,0.49858,0
"Dc06503","locus256",0.687432,0.720392,NA,NA,0.862818,NA,1,0
"Dc06503","locus263",1,1,NA,NA,1,NA,Inf,0
"Dc06503","locus264",1,0.10836,NA,NA,0.122686,NA,1,0
"Dc06503","locus274",0.31821,0.083376,NA,NA,0.654414,NA,1,0
"Dc06503","locus280",0.321094,0.041264,NA,NA,1,NA,1,1
"Dc06503","locus282",0.11791,0.860426,NA,NA,0.153474,NA,1,0
"Dc06503","locus286",1,1,NA,NA,0.56434,NA,1,0
"Dc06503","locus291",0.612858,0.241656,NA,NA,0.42618,NA,1,0
"Dc06503","locus292",1,0.32005,NA,NA,0.767208,NA,1,0
"Dc06503","locus296",0.663486,0.235888,NA,NA,0.208154,NA,1,0
"Dc06503","locus301",1,0.011884,NA,NA,1,NA,1,1
"Dc06503","locus314",1,0.383286,NA,NA,0.241788,NA,Inf,0
"Dc06503","locus321",1,0.844062,NA,NA,1,NA,0.503234,0
"Dc06503","locus322",0.388802,0.084946,NA,NA,0.14994,NA,1,0
"Dc06503","locus323",0.290548,0.154754,NA,NA,0.306002,NA,1,0
"Dc06503","locus329",1,0.622256,NA,NA,1,NA,1,0
"Dc06503","locus332",0.142182,0.334706,NA,NA,1,NA,1,0
"Dc06503","locus358",1,0.43301,NA,NA,0.178008,NA,0.375948,0
"Dc06503","locus359",0.571394,0.498892,NA,NA,0.079306,NA,Inf,0
"Dc06503","locus360",1,0.044652,NA,NA,0.87205,NA,1,1
"Dc07300","Dc07937",0.348946,0.99398,NA,NA,0.873706,1,0.784134,0
"Dc07300","Dc08054",0.863968,0.479026,NA,NA,0.472026,0.571082,0.16387,0
"Dc07300","Dc08189",0.30379,0.222332,NA,NA,0.168446,1,0.38719,0
"Dc07300","Dc08463",0.416472,0.806832,NA,NA,0.195532,0.287538,0.410238,0
"Dc07300","Dc08865",0.917966,0.41907,NA,NA,0.315284,0.883488,0.720464,0
"Dc07300","Dc10003",0.43247,NA,Inf,NA,0.784532,Inf,NA,0
"Dc07300","Dc10390",0.778744,0.281162,NA,NA,0.106752,Inf,0.20458,0
"Dc07300","Dc10878",0.058862,0.831932,NA,NA,0.737128,NA,0.2161,0
"Dc07300","Dc10885",0.902412,0.73142,1,NA,0.63475,0.830478,0.0631,0
"Dc07300","Dc11203",0.20482,0.265334,NA,NA,0.484302,0.716344,0.915822,0
"Dc07300","Dc11714",0.726588,0.812124,NA,NA,0.442268,1,0.098208,0
"Dc07300","Dc13159",0.939044,0.915938,NA,NA,0.867834,1,0.989222,0
"Dc07300","Dc13592",0.359192,0.721722,NA,NA,0.115042,0.73232,0.164606,0
"Dc07300","Dc14022",0.29363,0.64523,NA,NA,Inf,0.287262,Inf,0
"Dc07300","Dc14945",0.336524,0.823926,NA,NA,0.111278,Inf,1,0
"Dc07300","Dc16747",0.847654,0.314544,NA,NA,0.633978,Inf,0.664556,0
"Dc07300","Dc18951",0.044244,0.710992,NA,NA,0.67582,0.717194,0.34784,1
"Dc07300","Dc20232",0.790996,0.970992,NA,NA,0.214876,0.633794,0.924522,0
"Dc07300","Dc22883",0.794286,0.888938,NA,NA,0.170474,NA,0.71214,0
"Dc07300","Dc22887",0.480178,0.6406,NA,NA,0.415916,0.484758,0.61162,0
"Dc07300","Dc27955",0.108124,0.820806,NA,0.501172,0.051936,NA,0.636394,0
"Dc07300","Dc28124",0.014084,0.589418,NA,NA,0.937304,Inf,1,1
"Dc07300","Dc28776",0.500814,0.827016,NA,NA,0.41537,1,1,0
"Dc07300","Dc30071",0.183308,0.851626,NA,NA,0.223474,0.885998,0.60653,0
"Dc07300","Dc31007",0.38053,NA,NA,NA,0.648598,NA,0.788486,0
"Dc07300","Dc33714",0.167928,0.567578,NA,NA,0.007152,1,1,1
"Dc07300","Dc33907",0.345894,0.640196,NA,NA,0.857024,0.464968,0.903344,0
"Dc07300","Dc34902",0.942152,0.097686,NA,NA,0.516924,Inf,0.642612,0
"Dc07300","Dc35779",0.466988,0.002178,NA,NA,0.268052,1,0.784124,1
"Dc07300","Dc36571",0.510872,0.475716,NA,NA,0.743736,1,0.682316,0
"Dc07300","Dc36616",0.478342,0.714132,NA,NA,0.103128,1,1,0
"Dc07300","Dc40235",0.542796,0.335876,NA,NA,0.829208,1,0.531622,0
"Dc07300","Dc41234",0.385772,0.278358,NA,NA,NA,NA,0.717996,0
"Dc07300","Dc46984",0.448964,0.215332,NA,NA,0.364134,0.027754,0.76857,1
"Dc07300","Dc47572",0.940918,0.84437,1,NA,0.882226,0.571862,0.203004,0
"Dc07300","Dc47935",0.602224,0.676932,NA,NA,0.44621,0.11307,0.96752,0
"Dc07300","Dc48207",0.004502,0.397834,NA,NA,0.679484,1,0.58348,1
"Dc07300","Dc48950",0.291544,0.403568,NA,NA,0.934608,0.833526,0.402964,0
"Dc07300","Dc49080",0.77009,0.005816,NA,NA,0.831356,0.288092,0.632512,1
"Dc07300","Dc49184",0.772976,0.030766,NA,NA,0.587704,0.884462,0.126176,1
"Dc07300","Dc51020",0.527964,0.987166,NA,NA,0.641466,0.885682,0.381614,0
"Dc07300","Dc52523",0.838756,0.775668,NA,NA,0.416674,1,1,0
"Dc07300","Dc55481",0.64845,0.666924,NA,1,0.018222,0.500418,0.395768,1
"Dc07300","Dc58248",0.318582,0.277092,NA,0.601472,0.006976,NA,0.125904,1
"Dc07300","Dc62188",0.659738,0.785378,NA,0.350008,0.154618,NA,0.83222,0
"Dc07300","Dc67011",0.64322,0.71389,NA,1,0.099592,NA,1,0
"Dc07300","locus003",0.16554,0.141602,NA,0.255104,0.552164,NA,0.456708,0
"Dc07300","locus004",0.675468,0.92397,NA,0.771998,0.939794,NA,0.668246,0
"Dc07300","locus005",0.976422,0.47831,NA,0.430116,0.604962,NA,1,0
"Dc07300","locus006",0.07286,0.19272,NA,1,0.29659,NA,0.892616,0
"Dc07300","locus008",0.421504,0.835312,NA,1,0.930748,NA,1,0
"Dc07300","locus013",0.399752,0.441778,NA,0.773352,0.09552,NA,0.63201,0
"Dc07300","locus014",0.355834,0.36465,NA,0.201732,0.704468,NA,0.626572,0
"Dc07300","locus022",0.692092,0.04875,NA,0.547582,0.612034,NA,0.073244,1
"Dc07300","locus024",0.32991,0.772032,NA,0.598388,0.982004,NA,1,0
"Dc07300","locus025",0.923226,0.00018,Inf,1,0.940746,NA,0.072028,1
"Dc07300","locus027",0.388994,0.207398,NA,NA,NA,NA,NA,0
"Dc07300","locus030",0.31158,0.472584,NA,NA,0.40694,NA,0.524798,0
"Dc07300","locus035",0.365114,0.546044,NA,NA,0.030476,NA,1,1
"Dc07300","locus038",0.138636,0.91087,NA,NA,0.481014,NA,0.012892,1
"Dc07300","locus039",0.39731,0.520756,NA,NA,0.841596,NA,0.523822,0
"Dc07300","locus040",0.64467,0.587866,NA,NA,0.08923,NA,1,0
"Dc07300","locus041",0.29506,0.421526,NA,NA,0.472168,NA,0.927906,0
"Dc07300","locus045",0.283542,0.76573,NA,NA,0.068496,NA,1,0
"Dc07300","locus047",0.896778,0.997118,NA,NA,0.888338,NA,0.385678,0
"Dc07300","locus048",0.752134,0.858638,NA,NA,1,NA,0.035826,1
"Dc07300","locus053",0.101194,0.753662,NA,NA,0.37255,NA,0.677966,0
"Dc07300","locus055",0.759386,0.992704,NA,NA,0.001958,NA,0.937022,1
"Dc07300","locus056",0.111148,0.78858,NA,1,0.197124,NA,0.464244,0
"Dc07300","locus058",0.680172,0.390166,NA,1,0.08021,NA,0.964668,0
"Dc07300","locus060",0.92584,0.601248,NA,1,0.214,NA,0.071706,0
"Dc07300","locus061",0.348664,NA,NA,NA,0.2323,NA,1,0
"Dc07300","locus062",0.63516,0.056822,NA,1,0.0175,NA,0.533374,1
"Dc07300","locus064",0.391346,0.491412,NA,1,0.618594,NA,0.295198,0
"Dc07300","locus065",0.69376,0.781514,NA,1,0.643412,NA,0.293364,0
"Dc07300","locus073",0.831042,0.522794,0.332932,0.462466,0.576684,NA,0.799022,0
"Dc07300","locus074",0.83753,0.108676,1,1,0.170224,NA,0.965498,0
"Dc07300","locus076",0.598194,0.255858,NA,NA,0.502004,NA,0.371308,0
"Dc07300","locus077",0.06239,0.572466,NA,Inf,0.389704,NA,0.192396,0
"Dc07300","locus080",0.038588,0.96216,NA,NA,0.44829,NA,0.44044,1
"Dc07300","locus083",0.92084,NA,NA,NA,0.789978,NA,0.363062,0
"Dc07300","locus088",0.193232,0.963628,NA,NA,0.8435,NA,0.724786,0
"Dc07300","locus093",0.686346,Inf,Inf,NA,1,NA,1,0
"Dc07300","locus096",0.165714,0.938496,1,NA,0.511798,NA,0.55447,0
"Dc07300","locus098",0.643256,0.375446,NA,NA,0.153224,NA,0.826666,0
"Dc07300","locus100",0.011782,0.110268,1,NA,0.708384,NA,0.725638,1
"Dc07300","locus106",0.727024,0.724596,NA,NA,0.021252,NA,0.651314,1
"Dc07300","locus116",0.687864,0.272634,NA,NA,0.240884,NA,0.904834,0
"Dc07300","locus119",0.361502,0.11833,NA,NA,0.45835,NA,0.701904,0
"Dc07300","locus120",0.833382,0.408474,NA,NA,0.18003,NA,0.694004,0
"Dc07300","locus128",0.058614,0.194394,Inf,1,0.990116,NA,0.090896,0
"Dc07300","locus129",0.918176,0.21828,1,1,0.027206,NA,0.893,1
"Dc07300","locus130",0.744442,NA,NA,NA,0.115422,NA,0.531894,0
"Dc07300","locus134",0.653006,0.048496,NA,NA,0.805966,NA,0.176284,1
"Dc07300","locus135",0.838802,0.169758,NA,0.428928,0.646746,NA,0.246376,0
"Dc07300","locus137",0.78715,0.097298,NA,1,0.850502,NA,0.892346,0
"Dc07300","locus139",0.289038,0.176588,NA,1,0.835456,NA,0.15867,0
"Dc07300","locus140",0.290344,0.173392,NA,1,0.834962,NA,0.161402,0
"Dc07300","locus146",0.566836,0.705042,1,1,0.129628,NA,0.582926,0
"Dc07300","locus148",0.064326,0.384206,NA,1,0.067132,NA,0.892216,0
"Dc07300","locus151",0.462998,NA,NA,0.468412,0.56189,NA,0.249566,0
"Dc07300","locus157",0.19781,NA,NA,NA,0.096624,NA,1,0
"Dc07300","locus161",0.320454,0.750604,NA,0.42601,0.156934,NA,0.229648,0
"Dc07300","locus165",0.449812,0.807924,Inf,NA,0.477692,NA,0.691174,0
"Dc07300","locus170",0.93785,0.320082,NA,1,0.949314,NA,0.721562,0
"Dc07300","locus176",0.836756,NA,NA,NA,0.304702,NA,0.750848,0
"Dc07300","locus184",0.036046,0.860664,1,1,0.18056,NA,0.047192,2
"Dc07300","locus186",0.216104,0.149666,NA,1,0.344572,NA,0.86991,0
