"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc01018","locus024",0.683774,0.169402,NA,Inf,0.770676,NA,0.17913,0
"Dc01018","locus025",0.19985,0.389264,NA,1,0.603738,NA,1,0
"Dc01018","locus027",0.727478,0.179548,NA,NA,NA,NA,NA,0
"Dc01018","locus030",0.331588,0.97388,NA,NA,0.67127,NA,0.0928,0
"Dc01018","locus035",0.412216,0.354376,Inf,NA,0.083792,NA,0.27098,0
"Dc01018","locus038",0.555006,0.435022,Inf,NA,1,NA,0.17961,0
"Dc01018","locus039",0.598628,0.047114,NA,NA,0.331964,NA,1,1
"Dc01018","locus040",0.65634,0.841988,NA,NA,0.391492,NA,1,0
"Dc01018","locus041",0.38627,0.125896,NA,NA,1,NA,0.2843,0
"Dc01018","locus045",0.904396,0.370052,NA,NA,0.428262,NA,0.6609,0
"Dc01018","locus047",0.085998,0.82283,NA,NA,0.712124,NA,1,0
"Dc01018","locus048",0.093666,0.661776,NA,NA,1,NA,0.272492,0
"Dc01018","locus053",0.83557,0.889348,NA,NA,0.388776,NA,0.145062,0
"Dc01018","locus055",0.120262,0.926092,NA,NA,0.910148,NA,0.29363,0
"Dc01018","locus056",0.78861,0.347476,Inf,0.502092,0.24244,NA,1,0
"Dc01018","locus058",0.075616,0.013398,Inf,1,0.27997,NA,0.393096,1
"Dc01018","locus060",0.432062,0.818596,NA,Inf,0.754226,NA,1,0
"Dc01018","locus061",1,NA,NA,NA,1,NA,1,0
"Dc01018","locus062",0.26471,0.147956,NA,1,0.014318,NA,1,1
"Dc01018","locus064",0.660844,0.200624,NA,1,0.904962,NA,Inf,0
"Dc01018","locus065",0.676682,0.217684,NA,1,0.485044,NA,1,0
"Dc01018","locus073",0.050028,0.804586,NA,1,0.56305,NA,0.69574,0
"Dc01018","locus074",1,0.019966,Inf,1,1,NA,0.697574,1
"Dc01018","locus076",0.899962,0.520796,NA,NA,0.328436,NA,0.33333,0
"Dc01018","locus077",0.384426,0.207452,NA,Inf,0.644562,NA,1,0
"Dc01018","locus080",0.101612,0.514004,NA,Inf,0.61509,NA,0.744812,0
"Dc01018","locus083",0.167374,NA,NA,NA,0.61813,NA,1,0
"Dc01018","locus088",0.39706,0.522584,NA,NA,0.768836,NA,0.030708,1
"Dc01018","locus093",1,Inf,Inf,NA,0.487232,NA,0.333552,0
"Dc01018","locus096",0.451534,0.120298,Inf,NA,0.87856,NA,0.57682,0
"Dc01018","locus098",0.067978,1,NA,NA,0.342902,NA,0.2137,0
"Dc01018","locus100",0.791768,0.582748,Inf,NA,0.201888,NA,1,0
"Dc01018","locus106",0.56606,0.710486,NA,NA,0.523904,NA,0.259056,0
"Dc01018","locus116",0.060134,0.23553,NA,NA,0.562412,NA,0.662226,0
"Dc01018","locus119",0.79539,0.769834,NA,NA,1,NA,1,0
"Dc01018","locus120",0.110022,0.876764,NA,NA,0.76181,NA,0.54709,0
"Dc01018","locus128",0.189952,0.43827,NA,NA,0.562612,NA,1,0
"Dc01018","locus129",0.010608,0.77,NA,0.334342,0.813252,NA,1,1
"Dc01018","locus130",0.68409,NA,NA,NA,1,NA,1,0
"Dc01018","locus134",0.108224,0.623676,NA,NA,0.057154,NA,0.271126,0
"Dc01018","locus135",0.923636,0.02494,NA,1,0.030238,NA,1,2
"Dc01018","locus137",0.587128,0.185318,NA,Inf,0.836628,NA,0.549924,0
"Dc01018","locus139",0.312182,0.271216,NA,Inf,0.101438,NA,1,0
"Dc01018","locus140",0.315876,0.270816,NA,Inf,0.10081,NA,1,0
"Dc01018","locus146",0.901126,0.237444,NA,0.331502,0.570302,NA,0.32205,0
"Dc01018","locus148",0.827668,0.851336,NA,0.499952,0.786542,NA,0.662022,0
"Dc01018","locus151",0.813262,NA,Inf,0.165872,1,NA,1,0
"Dc01018","locus157",0.565074,NA,NA,NA,1,NA,1,0
"Dc01018","locus161",0.35736,0.886872,NA,1,0.738294,NA,0.464116,0
"Dc01018","locus165",1,0.310754,NA,NA,0.618634,NA,1,0
"Dc01018","locus170",0.72035,0.114184,Inf,0.167134,0.872946,NA,0.719798,0
"Dc01018","locus176",0.26827,NA,NA,NA,0.663398,NA,0.181006,0
"Dc01018","locus184",0.83023,0.65469,Inf,1,0.881686,NA,1,0
"Dc01018","locus186",1,0.2031,NA,1,0.526988,NA,0.292984,0
"Dc01018","locus188",0.561772,0.83117,NA,Inf,0.38455,NA,0.210564,0
"Dc01018","locus189",0.971472,0.310636,NA,1,0.340204,Inf,0.416096,0
"Dc01018","locus190",0.365414,0.0308,NA,NA,0.068336,Inf,0.575472,1
