"id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"z0037412","Bird's Head-Summer",149,1,0.00666666666666667,0.586666666666667
"z0037417","Bird's Head-Summer",146,4,0.0266666666666667,0.473333333333333
"z0037418","Bird's Head-Summer",147,3,0.02,0.613333333333333
"z0037419","Bird's Head-Summer",149,1,0.00666666666666667,0.66
"z0037422","Bird's Head-Summer",147,3,0.02,0.573333333333333
"z0037463","Bird's Head-Summer",150,0,0,0.62
"z0037464","Bird's Head-Summer",150,0,0,0.653333333333333
"z0037466","Bird's Head-Summer",149,1,0.00666666666666667,0.52
"z0037467","Bird's Head-Summer",141,9,0.06,0.6
"z0037468","Bird's Head-Summer",148,2,0.0133333333333333,0.613333333333333
"z0037471","Bird's Head-Summer",148,2,0.0133333333333333,0.58
"z0062622","Bird's Head-Summer",150,0,0,0.573333333333333
"z0062627","Bird's Head-Summer",149,1,0.00666666666666667,0.633333333333333
"z0062630","Bird's Head-Summer",150,0,0,0.673333333333333
"z0062634","Bird's Head-Summer",150,0,0,0.646666666666667
"z0062636","Bird's Head-Summer",150,0,0,0.62
"z0062680","Bird's Head-Summer",147,3,0.02,0.606666666666667
"z0062681","Bird's Head-Summer",148,2,0.0133333333333333,0.58
"z0076691","Bird's Head-Summer",150,0,0,0.52
"z0076693","Bird's Head-Summer",150,0,0,0.66
"z0076695","Bird's Head-Summer",149,1,0.00666666666666667,0.633333333333333
"z0076697","Bird's Head-Summer",150,0,0,0.5
"z0076699","Bird's Head-Summer",148,2,0.0133333333333333,0.64
"z0076701","Bird's Head-Summer",145,5,0.0333333333333333,0.573333333333333
"z0076703","Bird's Head-Summer",144,6,0.04,0.526666666666667
"z0076705","Bird's Head-Summer",148,2,0.0133333333333333,0.653333333333333
"z0076707","Bird's Head-Summer",150,0,0,0.62
"z0076709","Bird's Head-Summer",149,1,0.00666666666666667,0.56
"z0076711","Bird's Head-Summer",150,0,0,0.64
"z0076713","Bird's Head-Summer",145,5,0.0333333333333333,0.533333333333333
"z0076715","Bird's Head-Summer",148,2,0.0133333333333333,0.56
"z0102589","Bird's Head-Summer",150,0,0,0.586666666666667
"z0102605","Bird's Head-Summer",150,0,0,0.64
"z0102610","Bird's Head-Summer",150,0,0,0.573333333333333
"z0102616","Bird's Head-Summer",149,1,0.00666666666666667,0.6
"z0102682","Bird's Head-Summer",125,25,0.166666666666667,0.473333333333333
"z0134055","Bird's Head-Summer",137,13,0.0866666666666667,0.58
"z0134059","Bird's Head-Summer",133,17,0.113333333333333,0.52
"z0134061","Bird's Head-Summer",124,26,0.173333333333333,0.473333333333333
"z0134066","Bird's Head-Summer",119,31,0.206666666666667,0.446666666666667
"z0134070","Bird's Head-Summer",150,0,0,0.64
"z0134074","Bird's Head-Summer",149,1,0.00666666666666667,0.573333333333333
"z0134087","Bird's Head-Summer",124,26,0.173333333333333,0.546666666666667
"z0134095","Bird's Head-Summer",115,35,0.233333333333333,0.5
"z0134097","Bird's Head-Summer",133,17,0.113333333333333,0.58
"z0134098","Bird's Head-Summer",142,8,0.0533333333333333,0.56
"z0134101","Bird's Head-Summer",150,0,0,0.566666666666667
"z0134108","Bird's Head-Summer",145,5,0.0333333333333333,0.593333333333333
"z0134109","Bird's Head-Summer",144,6,0.04,0.533333333333333
"z0134111","Bird's Head-Summer",136,14,0.0933333333333333,0.493333333333333
"z0134112","Bird's Head-Summer",149,1,0.00666666666666667,0.606666666666667
"z0134113","Bird's Head-Summer",149,1,0.00666666666666667,0.586666666666667
"z0062632","Bird's Head-Winter",131,19,0.126666666666667,0.553333333333333
"z0062684","Bird's Head-Winter",126,24,0.16,0.553333333333333
"z0062686","Bird's Head-Winter",131,19,0.126666666666667,0.58
"z0062687","Bird's Head-Winter",150,0,0,0.513333333333333
"z0062690","Bird's Head-Winter",130,20,0.133333333333333,0.533333333333333
"z0062691","Bird's Head-Winter",123,27,0.18,0.506666666666667
"z0062692","Bird's Head-Winter",108,42,0.28,0.426666666666667
"z0062693","Bird's Head-Winter",126,24,0.16,0.5
"z0062694","Bird's Head-Winter",148,2,0.0133333333333333,0.56
"z0062697","Bird's Head-Winter",128,22,0.146666666666667,0.506666666666667
"z0062700","Bird's Head-Winter",112,38,0.253333333333333,0.426666666666667
"z0062701","Bird's Head-Winter",125,25,0.166666666666667,0.493333333333333
"z0062702","Bird's Head-Winter",141,9,0.06,0.533333333333333
"z0062704","Bird's Head-Winter",132,18,0.12,0.553333333333333
"z0062707","Bird's Head-Winter",120,30,0.2,0.52
"z0062708","Bird's Head-Winter",137,13,0.0866666666666667,0.613333333333333
"z0062709","Bird's Head-Winter",129,21,0.14,0.54
"z0062710","Bird's Head-Winter",131,19,0.126666666666667,0.506666666666667
"z0062712","Bird's Head-Winter",148,2,0.0133333333333333,0.56
"z0062715","Bird's Head-Winter",129,21,0.14,0.613333333333333
"z0062716","Bird's Head-Winter",142,8,0.0533333333333333,0.6
"z0062717","Bird's Head-Winter",136,14,0.0933333333333333,0.553333333333333
"z0062718","Bird's Head-Winter",137,13,0.0866666666666667,0.573333333333333
"z0062720","Bird's Head-Winter",109,41,0.273333333333333,0.46
"z0062721","Bird's Head-Winter",131,19,0.126666666666667,0.533333333333333
"z0062724","Bird's Head-Winter",145,5,0.0333333333333333,0.626666666666667
"z0062725","Bird's Head-Winter",129,21,0.14,0.54
"z0062726","Bird's Head-Winter",150,0,0,0.72
"z0062727","Bird's Head-Winter",139,11,0.0733333333333333,0.54
"z0062729","Bird's Head-Winter",139,11,0.0733333333333333,0.613333333333333
"z0062730","Bird's Head-Winter",130,20,0.133333333333333,0.466666666666667
"z0062731","Bird's Head-Winter",139,11,0.0733333333333333,0.546666666666667
"z0062735","Bird's Head-Winter",129,21,0.14,0.48
"z0062736","Bird's Head-Winter",137,13,0.0866666666666667,0.58
"z0062737","Bird's Head-Winter",147,3,0.02,0.593333333333333
"z0062738","Bird's Head-Winter",142,8,0.0533333333333333,0.5
"z0062740","Bird's Head-Winter",132,18,0.12,0.5
"z0062742","Bird's Head-Winter",149,1,0.00666666666666667,0.56
"z0062743","Bird's Head-Winter",150,0,0,0.62
"z0062744","Bird's Head-Winter",137,13,0.0866666666666667,0.586666666666667
"z0062751","Bird's Head-Winter",143,7,0.0466666666666667,0.62
"z0062752","Bird's Head-Winter",150,0,0,0.586666666666667
"z0062757","Bird's Head-Winter",140,10,0.0666666666666667,0.526666666666667
"z0062761","Bird's Head-Winter",150,0,0,0.58
"z0062762","Bird's Head-Winter",133,17,0.113333333333333,0.526666666666667
"z0062763","Bird's Head-Winter",136,14,0.0933333333333333,0.546666666666667
"z0062764","Bird's Head-Winter",138,12,0.08,0.553333333333333
"z0062765","Bird's Head-Winter",134,16,0.106666666666667,0.52
"z0062766","Bird's Head-Winter",150,0,0,0.573333333333333
"z0062769","Bird's Head-Winter",136,14,0.0933333333333333,0.566666666666667
"z0062770","Bird's Head-Winter",129,21,0.14,0.493333333333333
"z0062771","Bird's Head-Winter",136,14,0.0933333333333333,0.546666666666667
"z0062772","Bird's Head-Winter",129,21,0.14,0.506666666666667
"z0062773","Bird's Head-Winter",126,24,0.16,0.46
"z0062775","Bird's Head-Winter",145,5,0.0333333333333333,0.56
"z0062776","Bird's Head-Winter",145,5,0.0333333333333333,0.58
"z0062779","Bird's Head-Winter",145,5,0.0333333333333333,0.573333333333333
"z0062780","Bird's Head-Winter",146,4,0.0266666666666667,0.613333333333333
"z0062783","Bird's Head-Winter",142,8,0.0533333333333333,0.633333333333333
"z0062784","Bird's Head-Winter",144,6,0.04,0.54
"z0062787","Bird's Head-Winter",149,1,0.00666666666666667,0.58
"z0216926","HaevoSI-Summer",117,33,0.22,0.46
"z0216927","HaevoSI-Summer",127,23,0.153333333333333,0.52
"z0216928","HaevoSI-Summer",148,2,0.0133333333333333,0.626666666666667
"z0216930","HaevoSI-Summer",147,3,0.02,0.56
