"id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"z0037412","Bird's Head-Summer",161,1,0.00617283950617284,0.58641975308642
"z0037417","Bird's Head-Summer",151,11,0.0679012345679012,0.450617283950617
"z0037418","Bird's Head-Summer",149,13,0.0802469135802469,0.580246913580247
"z0037419","Bird's Head-Summer",160,2,0.0123456790123457,0.660493827160494
"z0037422","Bird's Head-Summer",153,9,0.0555555555555556,0.561728395061728
"z0037463","Bird's Head-Summer",161,1,0.00617283950617284,0.611111111111111
"z0037464","Bird's Head-Summer",160,2,0.0123456790123457,0.654320987654321
"z0037466","Bird's Head-Summer",157,5,0.0308641975308642,0.493827160493827
"z0037467","Bird's Head-Summer",144,18,0.111111111111111,0.567901234567901
"z0037468","Bird's Head-Summer",155,7,0.0432098765432099,0.598765432098765
"z0037471","Bird's Head-Summer",157,5,0.0308641975308642,0.574074074074074
"z0062622","Bird's Head-Summer",162,0,0,0.567901234567901
"z0062627","Bird's Head-Summer",161,1,0.00617283950617284,0.62962962962963
"z0062630","Bird's Head-Summer",161,1,0.00617283950617284,0.666666666666667
"z0062634","Bird's Head-Summer",158,4,0.0246913580246914,0.635802469135803
"z0062636","Bird's Head-Summer",159,3,0.0185185185185185,0.604938271604938
"z0062680","Bird's Head-Summer",157,5,0.0308641975308642,0.604938271604938
"z0062681","Bird's Head-Summer",158,4,0.0246913580246914,0.574074074074074
"z0076691","Bird's Head-Summer",162,0,0,0.512345679012346
"z0076693","Bird's Head-Summer",159,3,0.0185185185185185,0.641975308641975
"z0076695","Bird's Head-Summer",161,1,0.00617283950617284,0.62962962962963
"z0076697","Bird's Head-Summer",162,0,0,0.506172839506173
"z0076699","Bird's Head-Summer",157,5,0.0308641975308642,0.623456790123457
"z0076701","Bird's Head-Summer",153,9,0.0555555555555556,0.567901234567901
"z0076703","Bird's Head-Summer",149,13,0.0802469135802469,0.5
"z0076705","Bird's Head-Summer",151,11,0.0679012345679012,0.617283950617284
"z0076707","Bird's Head-Summer",158,4,0.0246913580246914,0.604938271604938
"z0076709","Bird's Head-Summer",158,4,0.0246913580246914,0.561728395061728
"z0076711","Bird's Head-Summer",156,6,0.037037037037037,0.617283950617284
"z0076713","Bird's Head-Summer",149,13,0.0802469135802469,0.512345679012346
"z0076715","Bird's Head-Summer",155,7,0.0432098765432099,0.549382716049383
"z0102589","Bird's Head-Summer",158,4,0.0246913580246914,0.580246913580247
"z0102605","Bird's Head-Summer",161,1,0.00617283950617284,0.617283950617284
"z0102610","Bird's Head-Summer",162,0,0,0.580246913580247
"z0102616","Bird's Head-Summer",157,5,0.0308641975308642,0.592592592592593
"z0102682","Bird's Head-Summer",131,31,0.191358024691358,0.462962962962963
"z0134055","Bird's Head-Summer",144,18,0.111111111111111,0.561728395061728
"z0134059","Bird's Head-Summer",140,22,0.135802469135802,0.512345679012346
"z0134061","Bird's Head-Summer",131,31,0.191358024691358,0.469135802469136
"z0134066","Bird's Head-Summer",124,38,0.234567901234568,0.425925925925926
"z0134070","Bird's Head-Summer",160,2,0.0123456790123457,0.62962962962963
"z0134074","Bird's Head-Summer",161,1,0.00617283950617284,0.567901234567901
"z0134087","Bird's Head-Summer",131,31,0.191358024691358,0.54320987654321
"z0134095","Bird's Head-Summer",119,43,0.265432098765432,0.469135802469136
"z0134097","Bird's Head-Summer",140,22,0.135802469135802,0.574074074074074
"z0134098","Bird's Head-Summer",149,13,0.0802469135802469,0.549382716049383
"z0134101","Bird's Head-Summer",157,5,0.0308641975308642,0.555555555555556
"z0134108","Bird's Head-Summer",152,10,0.0617283950617284,0.58641975308642
"z0134109","Bird's Head-Summer",151,11,0.0679012345679012,0.524691358024691
"z0134111","Bird's Head-Summer",143,19,0.117283950617284,0.487654320987654
"z0134112","Bird's Head-Summer",161,1,0.00617283950617284,0.611111111111111
"z0134113","Bird's Head-Summer",160,2,0.0123456790123457,0.58641975308642
"z0062687","Bird's Head-Winter",162,0,0,0.518518518518518
"z0062737","Bird's Head-Winter",154,8,0.0493827160493827,0.567901234567901
"z0062742","Bird's Head-Winter",160,2,0.0123456790123457,0.561728395061728
"z0062743","Bird's Head-Winter",162,0,0,0.623456790123457
"z0062752","Bird's Head-Winter",162,0,0,0.598765432098765
"z0062761","Bird's Head-Winter",162,0,0,0.580246913580247
"z0062766","Bird's Head-Winter",162,0,0,0.574074074074074
"z0062787","Bird's Head-Winter",161,1,0.00617283950617284,0.580246913580247
"z0216926","HaevoSI-Summer",121,41,0.253086419753086,0.444444444444444
"z0216927","HaevoSI-Summer",132,30,0.185185185185185,0.506172839506173
"z0216928","HaevoSI-Summer",159,3,0.0185185185185185,0.641975308641975
"z0216930","HaevoSI-Summer",159,3,0.0185185185185185,0.555555555555556
"z0216904","HaevoSI-Winter",159,3,0.0185185185185185,0.62962962962963
"z0216906","HaevoSI-Winter",154,8,0.0493827160493827,0.561728395061728
"z0216907","HaevoSI-Winter",118,44,0.271604938271605,0.388888888888889
"z0216913","HaevoSI-Winter",131,31,0.191358024691358,0.567901234567901
"z0216918","HaevoSI-Winter",146,16,0.0987654320987654,0.567901234567901
"z0035352","In-water, CA",159,3,0.0185185185185185,0.604938271604938
"z0178009","In-water, CA",162,0,0,0.654320987654321
"z0178011","In-water, CA",161,1,0.00617283950617284,0.648148148148148
"z0178014","In-water, CA",161,1,0.00617283950617284,0.598765432098765
"z0207730","In-water, CA",161,1,0.00617283950617284,0.635802469135803
"z0207745","In-water, CA",158,4,0.0246913580246914,0.604938271604938
