"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6"
"z0134113",1,0.951,0.001,0.001,0.001,0.001,0.001
"z0178009",5,0.175,0.175,0.174,0.173,0.146,0.158
"z0178011",5,0.178,0.169,0.175,0.173,0.148,0.157
"z0178014",5,0.178,0.173,0.173,0.173,0.147,0.156
"z0207730",5,0.175,0.176,0.173,0.172,0.146,0.157
"z0207745",5,0.176,0.175,0.175,0.168,0.148,0.158
"z0210588",5,0.182,0.162,0.18,0.176,0.145,0.156
"z0216904",4,0.001,0.001,0.001,0.952,0.003,0.001
"z0216906",4,0.002,0.002,0.002,0.945,0.002,0.002
"z0216907",4,0.001,0.001,0.001,0.952,0.001,0.001
"z0216913",4,0.002,0.002,0.002,0.947,0.002,0.002
"z0216918",4,0.002,0.002,0.002,0.947,0.001,0.002
"z0216926",3,0.001,0.002,0.95,0.001,0.001,0.001
"z0216927",3,0.001,0.001,0.951,0.001,0.001,0.001
"z0216928",3,0.001,0.001,0.95,0.002,0.001,0.001
"z0216930",3,0.001,0.001,0.951,0.001,0.001,0.001
"z0216931",7,0.177,0.168,0.175,0.172,0.149,0.159
