"SampleID","AssumedPop","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5"
"z0210588",5,0.222,0.217,0.196,0.21,0.155
"z0216904",4,0.001,0.001,0.002,0.953,0.002
"z0216906",4,0.003,0.003,0.003,0.937,0.002
"z0216907",4,0.002,0.001,0.001,0.951,0.001
"z0216913",4,0.002,0.002,0.003,0.944,0.003
"z0216918",4,0.003,0.003,0.003,0.941,0.002
"z0216926",3,0.002,0.002,0.95,0.002,0.001
"z0216927",3,0.002,0.002,0.948,0.002,0.002
"z0216928",3,0.002,0.002,0.944,0.004,0.002
"z0216930",3,0.002,0.002,0.95,0.002,0.001
"z0216931",7,0.213,0.209,0.21,0.204,0.164
