Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
62636	5	2	6	19	1	58	1	1	18	10	2	8	6	187	X	X	22	5	5	20	507	19	72	X	7	1	X	4	1	2	X	4	158
37422	6	X	X	14	1	10	2	1	4	3	X	6	9	246	X	X	7	X	2	3	294	12	67	X	X	2	X	1	X	1	1	6	124
216928	10	2	2	12	2	3	1	4	2	6	2	10	19	687	3	X	5	10	X	7	500	25	98	8	1	3	X	8	1	1	5	4	266
102616	2	2	2	21	X	8	7	1	13	4	X	2	15	104	X	X	36	1	6	6	121	17	40	2	3	1	X	5	X	2	1	21	65
12517	5	4	2	7	3	6	1	1	3	6	1	9	5	250	X	X	2	8	1	26	1008	18	111	2	1	5	X	6	X	5	1	6	258
12523	17	X	5	8	1	5	X	18	3	11	3	10	5	257	X	X	X	13	2	33	796	12	71	3	X	2	X	1	1	1	1	7	241
35352	24	5	4	54	4	26	8	11	19	17	14	19	21	764	3	X	7	42	X	42	810	58	194	4	7	134	X	8	5	X	2	16	253
6796	11	X	11	8	1	15	1	10	3	9	4	12	3	196	1	X	1	5	8	21	511	31	98	3	1	29	X	6	X	X	X	X	222
12493	3	1	5	3	1	X	X	7	1	1	1	14	4	217	1	X	1	4	6	13	652	7	37	1	1	X	X	6	X	3	X	5	250
12511	11	X	7	5	3	10	1	8	5	11	2	14	3	210	1	X	1	6	14	20	716	18	111	1	1	1	X	6	X	X	X	7	215
62630	5	X	8	19	1	55	4	2	16	9	X	2	5	259	X	X	28	5	6	9	679	20	117	2	5	1	X	5	3	1	1	4	137
216906	8	X	1	4	X	3	1	1	1	9	5	3	4	190	X	X	8	1	X	5	136	5	22	3	X	2	X	4	X	X	X	4	73
76715	7	1	5	15	4	18	2	1	2	10	1	5	7	184	X	X	3	5	5	4	428	7	78	1	X	42	X	4	X	X	3	3	168
12489	13	X	10	60	5	40	7	4	11	11	1	18	5	377	3	X	15	14	20	32	1067	56	213	2	9	3	X	11	1	2	1	22	365
12496	2	X	4	14	2	11	2	X	9	7	1	5	2	71	X	X	3	X	4	3	168	9	53	X	X	2	X	X	X	1	2	5	56
